player#position#tries#goals#points
robbie paul#fullback#11#0#44
tevita vaikona#wing#13#0#52
danny peacock#centre#1#0#4
nathan mcavoy#centre#19#0#76
michael withers#wing#21#0#85
henry paul#stand off#12#29#106
paul deacon#scrum half#2#47#103
neil harmon#prop#1#0#4
james lowes#hooker#18#0#72
paul anderson#prop#2#0#8
jeremy donougher#second row#2#0#8
mike forshaw#second row#7#0#28
steve mcnamara#loose forward#6#98#221
nick zisti#wing#2#0#8
david boyle#second row#12#0#48
warren jowitt#prop#4#0#16
leon pryce#wing#12#0#48
lee radford#wing#0#0#0
jamie peacock#second row#6#0#24
scott naylor#centre#8#0#32
brian mcdermott#prop#7#0#28
bernard dwyer#second row#1#0#4
phil howlett#wing#2#0#8
paul sykes#centre#0#0#0
stuart spruce#fullback#15#0#60
stuart fielden#prop#9#0#36
