position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#rcd mallorca#30#42#18#6#6#37#23#+ 14
2#cd málaga#30#38#16#6#8#49#26#+ 23
3#real valladolid#30#35#15#5#10#47#24#+ 23
4#hércules cf#30#34#16#2#12#55#36#+ 19
5#atlético ceuta#30#32#13#6#11#39#38#+ 1
6#cf calvo sotelo#30#32#13#6#11#40#42#- 2
7#granada cf#30#32#11#10#9#45#35#+ 10
8#cd mestalla#30#31#13#5#12#37#41#- 4
9#recreativo de huelva#30#31#13#5#12#37#35#+ 2
10#algeciras cf#30#28#12#4#14#30#30#0
11#cd tenerife#30#28#11#6#13#24#33#- 9
12#melilla cf#30#27#10#7#13#24#34#- 10
13#cd constancia#30#26#9#8#13#31#41#- 10
14#cádiz cf#30#25#8#9#13#35#44#- 9
15#onteniente cf#30#21#8#5#17#35#50#- 15
16#cd abarán#30#18#6#6#18#20#53#- 33
