heat#lane#name#nationality#time
4#4#rebecca adlington#great britain#8:18.06
3#5#camelia potec#romania#8:19.70
4#2#lotte friis#denmark#8:21.74
5#5#alessia filippi#italy#8:21.95
4#3#kylie palmer#australia#8:22.81
5#1#yelena sokolova#russia#8:23.07
3#6#li xuanxu#china#8:24.37
5#7#cassandra patten#great britain#8:25.91
4#1#wendy trott#south africa#8:26.21
5#4#kate ziegler#united states#8:26.98
3#4#katie hoff#united states#8:27.78
5#6#coralie balmy#france#8:28.34
3#3#flavia rigamonti#switzerland#8:28.67
3#8#andreina pinto#venezuela#8:30.30
4#7#you meihong#china#8:31.11
5#3#erika villaécija garcía#spain#8:32.27
5#8#melissa gorman#australia#8:32.34
2#4#susana escobar#mexico#8:33.51
5#2#sophie huber#france#8:33.76
2#5#kristel köbrich#chile#8:34.25
3#1#maiko fujino#japan#8:35.60
2#1#jördis steinegger#austria#8:36.40
3#7#tanya hunks#canada#8:38.05
2#3#gabriella fagundez#sweden#8:39.06
4#6#jaana ehmcke#germany#8:39.51
2#6#réka nagy#hungary#8:40.38
4#5#ai shibata#japan#8:41.63
4#8#eleftheria evgenia efstathiou#greece#8:41.65
1#4#au hoishun stephanie#hong kong#8:41.66
2#8#lynette lim#singapore#8:45.56
2#2#cecilia biagioli#argentina#8:50.18
1#5#golda marcus#el salvador#8:51.21
1#3#eva lehtonen#finland#8:53.50
2#7#khoo cai lin#malaysia#9:04.86
1#3#karolina szczepaniak#poland#9:08.87
3#2#federica pellegrini#italy#dns
