rank#name#country#maglia rosa#giro wins#points#young rider
1#eddy merckx#belgium#77#5#2#0
2#alfredo binda#italy#65#5#0#0
3#francesco moser#italy#50#1#4#0
4#giuseppe saronni#italy#48#2#4#0
5 =#gino bartali#italy#42#3#0#0
5 =#jacques anquetil#france#42#2#0#0
7 =#fausto coppi#italy#31#5#0#0
7 =#bernard hinault#france#31#3#0#0
9#miguel indurain#spain#29#2#0#0
10 =#costante girardengo#italy#26#2#0#0
10 =#roberto visentini#italy#26#1#0#1
12#gilberto simoni#italy#25#2#1#0
13#fiorenzo magni#italy#24#3#0#0
14 =#hugo koblet#switzerland#23#1#0#0
14 =#giovanni valetti#italy#23#2#0#0
16#johan de muynck#belgium#22#1#0#0
17 =#franco chioccioli#italy#21#1#0#1
17 =#tony rominger#switzerland#21#1#1#0
19 =#gianni bugno#italy#20#1#1#0
19 =#charly gaul#luxembourg#20#2#0#0
19 =#felice gimondi#italy#20#3#0#0
19 =#pavel tonkov#russia#20#1#0#2
24 =#vittorio adorni#italy#19#1#0#0
24 =#ivan basso#italy#19#2#0#0
24 =#eugeni berzin#russia#19#1#0#1
24#vincenzo nibali#italy#19#1#0#0
28 =#danilo di luca#italy#18#1#0#0
28 =#learco guerra#italy#18#1#0#0
28 =#stephen roche#ireland#18#1#0#0
31 =#giovanni brunero#italy#17#3#0#0
31 =#carlo clerici#switzerland#17#1#0#0
31 =#carlo galetti#italy#17#2#0#0
34 =#vasco bergamaschi#italy#15#1#0#0
34 =#giordano cottur#italy#15#0#0#0
34 =#laurent fignon#france#15#1#0#0
34 =#luigi marchisio#italy#15#1#0#0
38 =#silvano contini#italy#14#0#0#1
38 =#michele dancelli#italy#14#0#0#0
38 =#jose manuel fuente#spain#14#0#0#0
38 =#marco pantani#italy#14#1#0#0
38 =#paolo savoldelli#italy#14#2#0#0
43 =#franco balmamion#italy#12#2#0#0
43 =#alex zülle#switzerland#12#0#0#0
45 =#moreno argentin#italy#11#0#0#0
45 =#gaetano belloni#italy#11#1#0#0
45 =#francesco casagrande#italy#11#0#0#0
45 =#damiano cunego#italy#11#1#0#0
45 =#ivan gotti#italy#11#2#0#0
50 =#jens heppner#germany#10#0#0#0
50 =#julio jiménez#spain#10#0#0#0
50 =#denis menchov#russia#10#1#0#0
50 =#claudio michelotto#italy#10#0#0#0
50 =#michel pollentier#belgium#10#1#0#0
50 =#joaquim rodríguez#spain#10#0#0#0
50 =#diego ronchini#italy#10#0#0#0
57 =#bartolomeo aymo#italy#9#0#0#0
57 =#dario frigo#italy#9#0#0#0
57 =#francisco galdós#spain#9#0#0#0
57 =#stefano garzelli#italy#9#1#0#0
57 =#gastone nencini#italy#9#1#0#0
57 =#vito ortelli#italy#9#0#0#0
57 =#arnaldo pambianco#italy#9#1#0#0
64 =#fausto bertoglio#italy#8#1#0#0
64 =#louison bobet#france#8#0#0#0
64 =#alessandro fantini#italy#8#0#0#0
64 =#pasquale fornara#italy#8#0#0#0
64 =#andrew hampsten#united states#8#1#0#0
64 =#jos hoevenaers#belgium#8#0#0#0
64 =#laurent jalabert#france#8#0#1#0
64 =#adolfo leoni#italy#8#0#0#0
64 =#gianni motta#italy#8#1#1#0
64 =#josé perez frances#spain#8#0#0#0
64 =#rik van steenbergen#belgium#8#0#0#0
64 =#giovanni visconti#italy#8#0#0#0
76 =#ercole baldini#italy#7#1#0#0
76 =#erik breukink#netherlands#7#0#0#0
19 =#alberto contador#spain#7#1#0#0
76 =#armand desmet#belgium#7#0#0#0
76 =#cesare del cancia#italy#7#0#0#0
76 =#giuseppe olmo#italy#7#0#0#0
76 =#antonio pesenti#italy#7#1#0#0
76 =#alessandro petacchi#italy#7#0#1#0
76 =#miguel poblet#spain#7#0#0#0
76 =#massimo podenzana#italy#7#0#0#0
76 =#giancarlo polidori#italy#7#0#0#0
19 =#michele scarponi#italy#7#1#1#0
76 =#fritz schär#switzerland#7#0#0#0
87 =#giancarlo astrua#italy#6#0#0#0
87 =#franco bitossi#italy#6#0#2#0
87 =#alfonso calzolari#italy#6#1#0#0
87 =#francesco camusso#italy#6#1#0#0
87 =#cino cinelli#italy#6#0#0#0
87 =#mario cipollini#italy#6#0#3#0
87 =#nino defilippis#italy#6#0#0#0
87 =#giuseppe enrici#italy#6#1#0#0
87 =#luigi ganna#italy#6#1#0#0
87 =#wladimiro panizza#italy#6#0#0#0
87 =#giovanni pettinati#italy#6#0#0#0
87 =#domenico piemontesi#italy#6#0#0#0
87 =#davide rebellin#italy#6#0#0#0
100 =#david arroyo#spain#5#0#0#0
100 =#giovanni battaglin#italy#5#1#0#0
100 =#hermann buse#germany#5#0#0#0
100 =#ryder hesjedal#canada#5#1#0#0
100 =#freddy maertens#belgium#5#0#0#0
100 =#bruno mealli#italy#5#0#0#0
100 =#marco pinotti#italy#5#0#0#0
100 =#alexander vinokourov#kazakhstan#5#0#0#0
108 =#graziano battistini#italy#4#0#0#0
108 =#aldo bini#italy#4#0#0#0
108 =#paolo bettini#italy#4#0#2#0
108 =#mark cavendish#united kingdom#4#0#1#0
108 =#pierino favalli#italy#4#0#0#0
108 =#federico gay#italy#4#0#0#0
108 =#sergei honchar#ukraine#4#0#0#0
108 =#silvio martinello#italy#4#0#0#0
108 =#luca paolini#italy#4#0#0#0
108 =#franco pellizotti#italy#4#0#0#0
108 =#giovanni rossignoli#italy#4#0#0#0
108 =#silvano schiavon#italy#4#0#0#0
108 =#kanstantsin sivtsov#belarus#4#0#0#0
108 =#antonio suarez#spain#4#0#0#0
108 =#rik verbrugghe#belgium#4#0#0#0
108 =#pieter weening#netherlands#4#0#0#0
124 =#marino basso#italy#3#0#1#0
124 =#jean françois bernard#france#3#0#0#0
124 =#agostino coletto#italy#3#0#0#0
124 =#ugo colombo#italy#3#0#0#0
124 =#fermo camellini#italy#3#0#0#0
124 =#guido de santi#italy#3#0#0#0
124 =#roger de vlaeminck#belgium#3#0#3#0
124 =#jef demuysere#belgium#3#0#0#0
124 =#mario fazio#italy#3#0#0#0
124 =#raphael geminiani#italy#3#0#0#0
124 =#antonio gomez moral#spain#3#0#0#0
124 =#angelo gremo#italy#3#0#0#0
124 =#knut knudsen#norway#3#0#0#0
124 =#bruno leali#italy#3#0#0#0
124 =#giuseppe minardi#italy#3#0#0#0
124 =#enrico mollo#italy#3#0#0#0
124 =#cristian moreni#italy#3#0#0#0
124 =#andrea noè#italy#3#0#0#0
124 =#enrico paolini#italy#3#0#0#0
1234 =#gösta pettersson#sweden#3#1#0#0
123 =#taylor phinney#united states#3#0#0#0
124 =#yaroslav popovych#ukraine#3#0#0#0
123 =#richie porte#australia#3#0#0#1
124 =#giuseppe santhià#italy#3#0#0#0
124 =#matteo tosatto#italy#3#0#0#0
124 =#renzo zanazzi#italy#3#0#0#0
150 =#giuseppe azzini#italy#2#0#0#0
150 =#osvaldo bailo#italy#2#0#0#0
150 =#ruggiero balli#italy#2#0#0#0
150 =#gianbattista baronchelli#italy#2#0#0#0
150 =#antonio bevilacqua#italy#2#0#0#0
150 =#jeroen blijlevens#netherlands#2#0#0#0
150 =#severino canavesi#italy#2#0#0#0
150 =#ezio cecchi#italy#2#0#0#0
150 =#acacio da silva#portugal#2#0#0#0
150 =#cadel evans#australia#2#0#0#0
150 =#urs freuler#switzerland#2#0#1#0
150 =#enrico gasparotto#italy#2#0#0#0
150 =#michele mara#italy#2#0#0#0
150 =#thierry marie#france#2#0#0#0
150 =#bradley mcgee#australia#2#0#0#0
150 =#david millar#united kingdom#2#0#0#0
150 =#bruno monti#italy#2#0#0#0
150 =#aldo moser#italy#2#0#0#0
150 =#enzo moser#italy#2#0#0#0
150 =#ramūnas navardauskas#lithuania#2#0#0#0
150 =#albano negro#italy#2#0#0#0
150 =#carlo oriani#italy#2#1#0#0
150 =#eberardo pavesi#italy#2#0#0#0
150 =#olaf pollack#germany#2#0#0#0
150 =#jean - paul van poppel#netherlands#2#0#0#0
