rank#player#county#tally#total#opposition
1#eddie keher#kilkenny#0 - 14#14#waterford
2#eddie keher#kilkenny#2 - 5#11#wexford
3#jimmy smyth#clare#1 - 7#10#cork
4#richard browne#cork#3 - 0#9#clare
4#seán mcloughlin#tipperary#3 - 0#9#waterford
4#séamus power#waterford#3 - 0#9#kilkenny
4#willie walsh#carlow#2 - 3#9#dublin
8#fran whelan#dublin#1 - 5#8#carlow
8#philly grimes#waterford#0 - 8#8#tipperary
10#tom walsh#kilkenny#2 - 1#7#waterford
10#mick kennedy#dublin#1 - 4#7#carlow
10#philly grimes#waterford#1 - 4#7#kilkenny
