class#part 1#part 2#part 3#part 4#verb meaning
1#ríða#reið#riðu#riðinn#to ride
2a#lúka#lauk#luku#lokinn#to finish
2b#frjósa#fraus#frusu#frosinn#to freeze
3a#binda#batt#bundu#bundinn#to bind
3b#verða#varð#urðu#orðinn#to become
4#bera#bar#báru#borinn#to bear
5#lesa#las#lásu#lesinn#to gather , to read
6#ala#ól#ólu#alinn#to grow , to produce
7a#heita#hét#hétu#heitinn#to be called
7b#hlaupa#hljóp#hljópu#hlaupinn#to leap
7c#halda#helt#heldu#haldinn#to hold
7d#ráða#réð#réðu#ráðinn#to advise
