game#december#opponent#score#record#points
26#2#buffalo sabres#4 - 2#14 - 7 - 4 - 1#33
27#4#montreal canadiens#3 - 2#15 - 7 - 4 - 1#35
28#5#st louis blues#3 - 2#16 - 7 - 4 - 1#37
29#9#toronto maple leafs#4 - 2#17 - 7 - 4 - 1#39
30#11#toronto maple leafs#4 - 6#17 - 8 - 4 - 1#39
31#14#buffalo sabres#1 - 3#17 - 9 - 4 - 1#39
32#16#phoenix coyotes#5 - 3#18 - 9 - 4 - 1#41
33#18#tampa bay lightning#4 - 0#19 - 9 - 4 - 1#43
34#19#nashville predators#1 - 1 ot#19 - 9 - 5 - 1#44
35#22#new jersey devils#2 - 3#19 - 10 - 5 - 1#44
36#23#atlanta thrashers#4 - 4 ot#19 - 10 - 6 - 1#45
37#27#calgary flames#5 - 1#20 - 10 - 6 - 1#47
38#29#vancouver canucks#3 - 2 ot#21 - 10 - 6 - 1#49
