week#date#opponent#result#record#game site
1#september 11#seattle seahawks#w 26 - 14#1 - 0#alltel stadium
2#september 18#indianapolis colts#l 10 - 3#1 - 1#rca dome
3#september 25#new york jets#w 26 - 20 (ot)#2 - 1#the meadowlands
4#october 2#denver broncos#l 20 - 7#2 - 2#alltel stadium
5#october 9#cincinnati bengals#w 23 - 20#3 - 2#alltel stadium
6#october 16#pittsburgh steelers#w 23 - 17 (ot)#4 - 2#heinz field
8#october 30#st louis rams#l 24 - 21#4 - 3#edward jones dome
9#november 6#houston texans#w 21 - 14#5 - 3#alltel stadium
10#november 13#baltimore ravens#w 30 - 3#6 - 3#alltel stadium
11#november 20#tennessee titans#w 31 - 28#7 - 3#the coliseum
12#november 27#arizona cardinals#w 24 - 17#8 - 3#sun devil stadium
13#december 4#cleveland browns#w 20 - 14#9 - 3#paul brown stadium
14#december 11#indianapolis colts#l 26 - 18#9 - 4#alltel stadium
15#december 18#san francisco 49ers#w 10 - 9#10 - 4#alltel stadium
16#december 24#houston texans#w 38 - 20#11 - 4#reliant stadium
17#january 1#tennessee titans#w 40 - 13#12 - 4#alltel stadium
