rank#nation#gold#silver#bronze#total
1#soviet union (urs)#39#38#17#94
2#japan (jpn)#28#29#32#89
3#united states (usa)#23#19#18#60
4#switzerland (sui)#16#19#13#48
5#italy (ita)#14#4#8#26
6#germany (ger)#11#7#11#29
7#china (chn)#10#10#6#26
8#finland (fin)#8#5#12#25
9#hungary (hun)#7#5#4#16
10#unified team (eun)#6#4#2#12
11#yugoslavia (yug)#5#2#4#11
12#russia (rus)#4#3#6#13
13#greece (gre)#4#3#2#9
14#sweden (swe)#4#1#0#5
15#czechoslovakia (tch)#3#7#9#19
16#east germany (gdr)#3#3#10#16
17#france (fra)#2#9#7#18
18#bulgaria (bul)#2#2#5#9
19#ukraine (ukr)#2#1#2#5
20#spain (esp)#2#0#0#2
21#romania (rou)#1#4#4#9
22#denmark (den)#1#2#1#4
22#norway (nor)#1#2#1#4
24#latvia (lat)#1#1#0#2
25#unified team of germany (eua)#1#0#1#2
26#canada (can)#1#0#0#1
26#north korea (prk)#1#0#0#1
28#south korea (kor)#0#3#4#7
29#belgium (bel)#0#1#1#2
29#great britain (gbr)#0#1#1#2
29#poland (pol)#0#1#1#2
32#belarus (blr)#0#0#4#4
33#west germany (frg)#0#0#1#1
