driver#constructor#laps#time / retired#grid
carlos reutemann#ferrari#40#1:45:07.72#2
james hunt#mclaren - ford#40#+ 10.71#1
niki lauda#ferrari#40#+ 1:47.51#13
emerson fittipaldi#fittipaldi - ford#39#+ 1 lap#16
gunnar nilsson#lotus - ford#39#+ 1 lap#10
renzo zorzi#shadow - ford#39#+ 1 lap#18
ingo hoffmann#fittipaldi - ford#38#+ 2 laps#19
carlos pace#brabham - alfa romeo#33#accident#12
tom pryce#shadow - ford#33#engine#5
hans binder#surtees - ford#32#suspension#20
john watson#brabham - alfa romeo#30#accident#7
jacques laffite#ligier - matra#26#accident#14
patrick depailler#tyrrell - ford#23#accident#6
mario andretti#lotus - ford#19#ignition#3
alex ribeiro#march - ford#16#engine#21
jochen mass#mclaren - ford#12#accident#4
ronnie peterson#tyrrell - ford#12#accident#8
clay regazzoni#ensign - ford#12#accident#9
vittorio brambilla#surtees - ford#11#accident#11
jody scheckter#wolf - ford#11#engine#15
ian scheckter#march - ford#1#transmission#17
larry perkins#brm#1#overheating#22
