rider#manufacturer#laps#time#grid
valentino rossi#yamaha#23#42:31.153#1
casey stoner#ducati#23#+ 2.201#4
dani pedrosa#honda#23#+ 4.867#2
alex de angelis#honda#23#+ 6.313#10
colin edwards#yamaha#23#+ 12.530#5
james toseland#yamaha#23#+ 13.806#8
loris capirossi#suzuki#23#+ 14.447#3
andrea dovizioso#honda#23#+ 15.319#13
shinya nakano#honda#23#+ 15.327#9
chris vermeulen#suzuki#23#+ 30.785#11
sylvain guintoli#ducati#23#+ 39.621#17
toni elias#ducati#23#+ 50.021#16
nicky hayden#honda#23#+ 50.440#6
tadayuki okada#honda#23#+ 58.849#15
anthony west#kawasaki#23#+ 1:00.736#19
jorge lorenzo#yamaha#6#accident#7
john hopkins#kawasaki#6#accident#14
randy de puniet#honda#5#accident#12
marco melandri#ducati#5#accident#18
