date#placing#beat by#location#distance
24 aug 02#4th#ego#nmk#6 gf
14 oct 02#4th#star sensation#lei#7 gf
07 may 03#1st#won#chs#7 gf
04 jun 03#1st#won#kem#8 gf
21 jun 03#3rd#hold to ransom#asc#8fm
21 aug 03#6th#vanderlin#yor#7 gf
11 sep 03#2nd#tantina#don#7 gd
11 oct 03#1st#won#asc#7 gf
20 may 04#6th#gonfilia#goo#8 gf
16 jun 04#7th#favourable terms#asc#8 gf
30 jul 04#3rd#phantom wind#goo#7 gf
14 aug 04#1st#won#nby#7 gd
28 aug 04#1st#won#goo#8 gs
02 oct 04#2nd#attraction#nmk#8 gd
09 jul 05#6th#autumn glory#lin#8st
27 jul 05#12th#proclamation#goo#8sft
28 aug 05#1st#won#goo#8 gd
10 sep 05#2nd#attraction#leo#8 gd / y
01 oct 05#5th#peeress#nmk#8 gs
15 oct 05#7th#david junior#nmk#10 gs
