skip#third#second#lead#city
kelly scott#jeanna schraeder#sasha carter#jacquie armstrong#kelowna
sherry anderson#kim hodson#heather walsh#donna gignac#delisle
amber holland#kim schneider#tammy schneider#heather seeley#regina
sherry middaugh#kirsten wall#kim moore#andra harmark#coldwater
marie - france larouche#nancy bélanger#annie lemay#joëlle sabourin#quebec city
michelle englot#deanna doig#roberta materi#cindy simmons#regina
heather rankin#lisa eyamie#heather moulding#kyla maclachlan#calgary
rachel homan#emma miskew#alison kreviazuk#lynn kreviazuk#ottawa
krista mccarville#tara george#kari maclean - kraft#lorraine lang#thunder bay
cathy king#kaitlyn lawes#raylene rocque#tracy bush#edmonton
eve belisle#brenda nicholls#martine comeau#julie rainville#montreal
crystal webster#lori olson - johns#samantha preston#stephanie malekoff#calgary
