name#total#first#last#highest rank
kotonishiki#34#september 1990#september 1999#sekiwake
kaiō#32#may 1994#july 2000#ōzeki
musōyama#31#march 1994#september 2000#ōzeki
hasegawa#30#november 1965#september 1974#sekiwake
kotomitsuki#30#january 2001#july 2007#ōzeki
akinoshima#27#november 1988#september 2000#sekiwake
takamiyama#27#november 1969#september 1982#sekiwake
takatōriki#26#may 1991#may 2000#sekiwake
wakanosato#26#november 2000#september 2005#sekiwake
daikirin#22#november 1966#september 1970#ōzeki
tochiazuma ii#22#july 1997#january 2005#ōzeki
kisenosato#22#july 2006#september 2011#ōzeki
