res#record#opponent#method#event#round#time#location
loss#25 - 9 - 1#matt brown#ko (punches)#ufc fight night : shogun vs sonnen#1#0:29#boston , massachusetts , united states
win#25 - 8 - 1#rick story#decision (split)#ufc 160#3#5:00#las vegas , nevada , united states
win#24 - 8 - 1#james head#tko (knee & punches)#the ultimate fighter 16 finale#1#1:55#las vegas , nevada , united states
win#23 - 8 - 1#josh neer#ko (punch)#ufc on fx : johnson vs mccall#1#4:56#sunrise , florida , united states
win#22 - 8 - 1#ricardo funch#tko (knee & punches)#ufc 142#1#1:22#rio de janeiro , brazil
loss#21 - 8 - 1#rory macdonald#tko (punches)#ufc 133#1#3:54#philadelphia , pennsylvania , united states
win#21 - 7 - 1#ricardo almeida#decision (unanimous)#ufc 128#3#5:00#newark , new jersey , united states
win#20 - 7 - 1#john hathaway#decision (unanimous)#ufc 120#3#5:00#london , england
win#19 - 7 - 1#jesse lennox#technical submission (triangle choke)#ufc 115#3#4:44#vancouver , british columbia , canada
loss#18 - 7 - 1#jake ellenberger#tko (punches)#ufc 108#2#0:22#las vegas , nevada , united states
win#18 - 6 - 1#chris wilson#submission (guillotine choke)#ufc fight night : diaz vs guillard#3#2:15#oklahoma city , oklahoma , united states
loss#17 - 6 - 1#brock larson#submission (arm triangle choke)#ufc 98#1#3:06#las vegas , nevada , united states
win#17 - 5 - 1#brian gassaway#submission (armbar)#superfights mma - night of combat 2#1#4:21#las vegas , nevada , united states
win#16 - 5 - 1#jj ambrose#submission (rear naked choke)#affliction : banned#1#2:51#anaheim , california , united states
win#15 - 5 - 1#dan hornbuckle#submission (triangle choke)#world victory road presents : sengoku 2#1#4:52#tokyo , japan
win#14 - 5 - 1#damir mirenic#submission (kimura)#hcf - destiny#2#1:24#calgary , alberta , canada
loss#13 - 5 - 1#jake shields#submission (rear naked choke)#elitexc : renegade#1#3:39#corpus christi , texas , united states
win#13 - 4 - 1#aaron wetherspoon#decision (unanimous)#strikeforce : shamrock vs baroni#3#5:00#san jose , california , united states
win#12 - 4 - 1#ross ebañez#submission (rear naked choke)#elitexc destiny#1#1:55#southaven , mississippi , united states
loss#11 - 4 - 1#matt horwich#submission (rear naked choke)#ifl : world championship semifinals#2#1:02#portland , oregon , united states
win#11 - 3 - 1#john cole#technical submission (guillotine choke)#ifl : portland#1#0:17#portland , oregon , united states
loss#10 - 3 - 1#rory markham#ko (punch)#ifl : legends championship 2006#1#0:44#atlantic city , new jersey , united states
win#10 - 2 - 1#gustavo machado#tko (punches)#gfc : team gracie vs team hammer house#1#1:20#columbus , ohio , united states
win#9 - 2 - 1#shonie carter#submission (triangle choke)#wec 18#1#2:06#lemoore , california , united states
win#8 - 2 - 1#bret bergmark#submission (triangle choke)#wec 17#1#3:36#lemoore , california , united states
win#7 - 2 - 1#tony sanza#submission (rear naked choke)#sportfight 12#1#1:06#portland , oregon , united states
win#6 - 2 - 1#damian hatch#submission (rear naked choke)#sportfight 10#1#2:07#gresham , oregon , united states
win#5 - 2 - 1#patrick suhl#ko (punches)#viking fight 5#1#1:31#copenhagen , denmark
win#4 - 2 - 1#petras markevičius#submission (triangle choke)#viking fight 5#2#0:55#copenhagen , denmark
win#3 - 2 - 1#arschak dahabagian#submission (triangle choke)#viking fight 4#2#3:39#copenhagen , denmark
loss#2 - 2 - 1#valdas pocevičius#submission (guillotine choke)#shooto#1#3:37#vilnius , lithuania
draw#2 - 1 - 1#andrei semenov#draw#m - 1 mix fight championship : russia vs the world 5#1#10:00#st petersburg , leningrad oblast , russia
win#2 - 1#daan kooiman#submission (rear naked choke)#viking fight 3#1#0:49#aarhus , denmark
win#1 - 1#jon fitch#submission (rear naked choke)#revolution fighting championship 1#1#2:35#las vegas , nevada , united states
loss#0 - 1#quinton jackson#decision (unanimous)#international sport combat federation : memphis#3#5:00#memphis , tennessee , united states
