group#name#nationality#4.00#result
a#yelena isinbayeva#russia#-#4.60
b#vanessa boslak#france#-#4.50
a#gao shuying#china#-#4.50
b#fabiana murer#brazil#-#4.50
b#jennifer stuczynski#united states#-#4.50
a#svetlana feofanova#russia#-#4.50
a#april steiner bennett#united states#-#4.50
a#monika pyrek#poland#-#4.50
b#anna rogowska#poland#-#4.50
b#yuliya golubchikova#russia#-#4.50
a#carolin hingst#germany#-#4.50
b#silke spiegelburg#germany#-#4.50
a#naroa agirre#spain#o#4.40
a#anastasija reiberger#germany#-#4.40
b#kate dennison#great britain#xo#4.40
b#alana boyd#australia#-#4.30
b#roslinda samsu#malaysia#o#4.30
b#kelsie hendry#canada#-#4.30
a#joanna piwowarska#poland#xo#4.30
a#afrodíti skafída#greece#-#4.30
a#sandra - helena tavares#portugal#o#4.30
b#nicole büchler#switzerland#xxo#4.30
a#marion buisson#france#o#4.15
b#thórey edda elisdóttir#iceland#-#4.15
b#zhou yang#china#xo#4.15
b#krisztina molnár#hungary#xxo#4.15
a#natalya kushch#ukraine#-#4.15
b#nikoléta kiriakopoúlou#greece#-#4.15
a#li ling#china#-#4.15
a#yarisley silva#cuba#-#4.15
a#alejandra garcía#argentina#xxo#4.15
a#leila ben youssef#tunisia#xo#4.00
a#vanessa vandy#finland#xo#4.00
b#anna fitídou#cyprus#xxo#4.00
b#kateřina baďurová#czech republic#xxx#nm
b#erica bartolina#united states#-#nm
