circuit#location#date#series#winning driver#winning team
circuit de catalunya#montmeló , spain#18 april#fr3.5 1#marcos martínez#pons racing
circuit de catalunya#montmeló , spain#18 april#fr2.0 1#nathanaël berthon#epsilon euskadi
circuit de catalunya#montmeló , spain#18 april#emt 1#jonathan hirschi#tds racing
circuit de catalunya#montmeló , spain#19 april#fr2.0 2#albert costa#epsilon euskadi
circuit de catalunya#montmeló , spain#19 april#fr3.5 2#marcos martínez#pons racing
circuit de catalunya#montmeló , spain#19 april#emt 2#mike verschuur#mcgregor by equipe verschuur
circuit de spa - francorchamps#spa , belgium#2 may#fr2.0 3#albert costa#epsilon euskadi
circuit de spa - francorchamps#spa , belgium#2 may#fr3.5 3#marcos martínez#pons racing
circuit de spa - francorchamps#spa , belgium#2 may#emt 3#jonathan hirschi#tds racing
circuit de spa - francorchamps#spa , belgium#3 may#fr2.0 4#albert costa#epsilon euskadi
circuit de spa - francorchamps#spa , belgium#3 may#emt 4#jonathan hirschi#tds racing
circuit de spa - francorchamps#spa , belgium#3 may#fr3.5 4#james walker#p1 motorsport
circuit de monaco#monte carlo , monaco#24 may#fr3.5 5#oliver turvey#carlin motorsport
hungaroring#mogyoród , hungary#13 june#fr3.5 6#fairuz fauzy#mofaz fortec motorsport
hungaroring#mogyoród , hungary#13 june#fr2.0 5#jean - éric vergne#sg formula
hungaroring#mogyoród , hungary#13 june#emt 5#dimitri enjalbert#boutsen energy racing
hungaroring#mogyoród , hungary#14 june#fr3.5 7#pasquale di sabatino#rc motorsport
hungaroring#mogyoród , hungary#14 june#fr2.0 6#adrian quaife - hobbs#motopark academy
hungaroring#mogyoród , hungary#14 june#emt 6#dimitri enjalbert#boutsen energy racing
silverstone circuit#silverstone , united kingdom#4 july#fr3.5 8#marcos martínez#pons racing
silverstone circuit#silverstone , united kingdom#4 july#emt 7#dimitri enjalbert#boutsen energy racing
silverstone circuit#silverstone , united kingdom#4 july#fr2.0 7#antónio félix da costa#motopark academy
silverstone circuit#silverstone , united kingdom#5 july#fr2.0 8#jean - éric vergne#sg formula
silverstone circuit#silverstone , united kingdom#5 july#fr3.5 9#charles pic#tech 1 racing
silverstone circuit#silverstone , united kingdom#5 july#emt 8#dimitri enjalbert#boutsen energy racing
bugatti circuit#le mans , france#18 july#fr2.0 9#jean - éric vergne#sg formula
bugatti circuit#le mans , france#18 july#fr3.5 10#bertrand baguette#international dracoracing
bugatti circuit#le mans , france#18 july#emt 9#jonathan hirschi#tds racing
bugatti circuit#le mans , france#19 july#fr2.0 10#jean - éric vergne#sg formula
bugatti circuit#le mans , france#19 july#emt 10#dimitri enjalbert#boutsen energy racing
bugatti circuit#le mans , france#19 july#fr3.5 11#bertrand baguette#international dracoracing
autódromo internacional do algarve#portimão , portugal#1 august#fr3.5 12#jon lancaster#comtec racing
autódromo internacional do algarve#portimão , portugal#1 august#fr3.5 13#jaime alguersuari#carlin motorsport
nürburgring#nürburg , germany#19 september#fr3.5 14#bertrand baguette#international dracoracing
nürburgring#nürburg , germany#19 september#fr2.0 11#albert costa#epsilon euskadi
nürburgring#nürburg , germany#19 september#emt 11#dimitri enjalbert#boutsen energy racing
nürburgring#nürburg , germany#20 september#fr2.0 12#albert costa#epsilon euskadi
nürburgring#nürburg , germany#20 september#fr3.5 15#charles pic#tech 1 racing
nürburgring#nürburg , germany#20 september#emt 12#dimitri enjalbert#boutsen energy racing
ciudad del motor de aragón#alcañiz , spain#24 october#fr2.0 13#antónio félix da costa#motopark academy
ciudad del motor de aragón#alcañiz , spain#24 october#fr3.5 16#bertrand baguette#international dracoracing
ciudad del motor de aragón#alcañiz , spain#24 october#emt 13#mike verschuur#mcgregor by equipe verschuur
ciudad del motor de aragón#alcañiz , spain#25 october#fr2.0 14#antónio félix da costa#motopark academy
ciudad del motor de aragón#alcañiz , spain#25 october#fr3.5 17#bertrand baguette#international dracoracing
