district#vacator#reason for change#successor#date successor seated
oklahoma 7th#sam c massingale (d)#died january 17 , 1941#victor wickersham (d)#april 1 , 1941
new york 17th#kenneth f simpson (r)#died january 25 , 1941#joseph c baldwin (r)#march 11 , 1941
alabama 7th#walter w bankhead (d)#resigned february 1 , 1941#carter manasco (d)#june 24 , 1941
maryland 6th#william d byron (d)#died february 27 , 1941#katharine byron (d)#may 27 , 1941
new york 42nd#pius l schwert (d)#died march 11 , 1941#john c butler (r)#april 22 , 1941
north carolina 5th#alonzo d folger (d)#died april 30 , 1941#john h folger (d)#june 14 , 1941
new york 14th#morris m edelstein (d)#died june 4 , 1941#arthur g klein (d)#july 29 , 1941
wisconsin 1st#stephen bolles (r)#died july 8 , 1941#lawrence h smith (r)#august 29 , 1941
pennsylvania 15th#albert g rutherford (r)#died august 10 , 1941#wilson d gillette (r)#november 4 , 1941
colorado 4th#edward t taylor (d)#died september 3 , 1941#robert f rockwell (r)#december 9 , 1941
california 17th#lee e geyer (d)#died october 11 , 1941#cecil r king (d)#august 25 , 1942
massachusetts 7th#lawrence j connery (d)#died october 19 , 1941#thomas j lane (d)#december 30 , 1941
pennsylvania 11th#patrick j boland (d)#died may 18 , 1942#veronica g boland (d)#november 3 , 1942
california 3rd#frank h buck (d)#died september 17 , 1942#vacant until the next congress#vacant until the next congress
pennsylvania 25th#charles i faddis (d)#resigned december 4 , 1942 to enter the us army#vacant until the next congress#vacant until the next congress
illinois 6th#a f maciejewski (d)#resigned december 6 , 1942#vacant until the next congress#vacant until the next congress
