date#opponent#venue#result#attendance
11 august#rochdale#home#w 3 - 0#5575
19 august#rotherham united#away#l 1 - 3#4291
25 august#chesterfield#home#l 2 - 3#5005
1 september#accrington stanley#away#w 2 - 0#1484
8 september#mansfield town#home#w 2 - 1#4721
15 september#bradford city#away#l 1 - 0#13819
22 september#morecambe#home#d 1 - 1#4473
29 september#darlington#away#d 1 - 1#3974
2 october#shrewsbury town#away#w 2 - 0#5220
6 october#grimsby town#home#w 2 - 1#4786
13 october#wycombe wanderers#home#w 2 - 1#4567
20 october#lincoln city#away#d 1 - 1#5036
27 october#hereford united#home#d 1 - 1#5008
3 november#stockport county#away#w 2 - 1#5042
6 november#dagenham and redbridge#home#w 3 - 1#4200
17 november#bury#away#l 0 - 2#2660
24 november#brentford#home#w 7 - 0#4865
4 december#notts county#away#w 1 - 0#4412
8 december#chester city#away#w 2 - 1#2291
15 december#milton keynes dons#home#l 1 - 2#10351
22 december#bradford city#home#w 2 - 1#5355
26 december#mansfield town#away#l 0 - 2#3107
29 december#morecambe#away#l 2 - 3#2371
1 january#shrewsbury town#home#w 2 - 1#5062
12 january#macclesfield town#home#l 0 - 1#5238
15 january#accrington stanley#home#w 8 - 2#4257
