place#player#country#score#to par
1#jim thorpe#united states#66#- 4
2#j c snead#united states#67#- 3
t3#bob ackerman#united states#68#- 2
t3#john cook#united states#68#- 2
t3#david graham#australia#68#- 2
t3#jack renner#united states#68#- 2
t3#chi - chi rodríguez#united states#68#- 2
t8#george burns#united states#69#- 1
t8#rex caldwell#united states#69#- 1
t8#hubert green#united states#69#- 1
t8#lon hinkle#united states#69#- 1
t8#billy kratzert#united states#69#- 1
t8#johnny miller#united states#69#- 1
t8#jack nicklaus#united states#69#- 1
t8#tommy valentine#united states#69#- 1
