round#pick#player#position#school / club team
1#7#al carmichael#halfback#usc
2#19#gil reich#back#army / kansas
3#31#bill forester#linebacker#smu
4#43#gib dawson#halfback#texas
5#55#roger zatkoff#linebacker#michigan
6#67#bob kennedy#guard#wisconsin
7#79#jim ringo#center#syracuse
8#91#lauren hargrove#back#georgia
9#103#floyd harrawood#tackle#tulsa
10#115#vic rimkus#guard#holy cross
11#127#joe johnson#halfback#boston college
12#139#dick curran#back#arizona state
13#151#bob orders#center#army / west virginia
14#163#charley wrenn#tackle#tcu
15#175#gene helwig#back#tulsa
16#187#john hlay#fullback#ohio state
17#199#bill georges#end#texas
18#211#jim philee#back#bradley
19#223#bill lucky#defensive tackle#baylor
20#235#john harville#back#tcu
21#247#bob conway#back#alabama
22#259#bill turnbeaugh#tackle#auburn
23#271#bill murray#end#american international
24#283#james haslam jr#tackle#tennessee
25#295#ike jones#end#ucla
26#307#george bozanic#back#usc
27#319#jim mcconaughey#end#houston
28#331#zack jordan#end#colorado
29#343#henry o'brien#guard#boston college
30#355#al barry#guard#usc
