element#group#period#reaction#potential
gold#11#6#au 3 + + 3e → au#1.56 v
platinum#10#6#pt 2 + + 2e → pt#1.18 v
iridium#9#6#ir 3 + + 3e → ir#1.156 v
palladium#10#5#pd 2 + + 2e → pd#0.987 v
osmium#8#6#oso 4 + 8 h + + 8e → os + 4 h 2 o#0.838 v
silver#11#5#ag + + e → ag#0.7996 v
mercury#12#6#hg 2 + 2 + 2e → 2 hg#0.7973 v
polonium#16#6#po 2 + + 2e → po#0.65 v
rhodium#9#5#rh 2 + + 2e → rh#0.600 v
ruthenium#8#5#ru 2 + + 2e → ru#0.455 v
copper#11#4#cu 2 + + 2e → cu#0.337 v
bismuth#15#6#bi 3 + + 3e → bi#0.308 v
technetium#7#5#tco 2 + 4 h + + 4e → tc + 2 h 2 o#0.272 v
rhenium#7#6#reo 2 + 4 h + + 4e → re + 2 h 2 o#0.259 v
antimony#15#5#sb 2 o 3 + 6 h + + 6e → 2 sb + 3 h 2 o#0.152 v
