season#series#episode title#original air date#nick prod
1#156#mario#april 30 , 2005#1001
2#157#fantasia barrino#may 7 , 2005#1002
3#158#jesse mccartney#may 14 , 2005#1003
4#159#jojo#may 28 , 2005#1009
5#160#tyler hilton#june 4 , 2005#1004
6#161#drake bell#june 11 , 2005#1010
7#162#bow wow#unaired#1011
8#163#avril lavigne#june 18 , 2005#1014
9#164#lil romeo / b2k#september 10 , 2005#1013
10#165#ashlee simpson#september 17 , 2005#1015
11#166#frankie j#september 24 , 2005#1016
12#167#morgan smith#october 1 , 2005#1005
13#168#brooke valentine#october 8 , 2005#1006
14#169#american hi - fi#october 15 , 2005#1007
15#170#brie larson#unaired#1012
