no in series#title#directed by#written by#original air date#production code#us viewers (millions)
1#pilot#jace alexander#matt nix#june 28 , 2007#bn100#4.0
2#identity#rod hardy#matt nix#july 5 , 2007#bn101#4.0
3#fight or flight#colin bucksey#craig o'neill & jason tracey#july 12 , 2007#bn103#n / a
4#old friends#david solomon#alfredo barrios , jr#july 19 , 2007#bn102#n / a
5#family business#sandy bookstaver#matt nix#july 26 , 2007#bn104#n / a
6#unpaid debts#paul holahan#nick thiel#august 2 , 2007#bn105#4.41
7#broken rules#tim matheson#mere smith#august 9 , 2007#bn106#n / a
8#wanted man#ken girotti#craig o'neill & jason tracey#august 16 , 2007#bn107#n / a
9#hard bargain#john kretchmer#alfredo barrios , jr#august 23 , 2007#bn108#4.08
10#false flag#paul shapiro#matt nix & ben watkins#september 13 , 2007#bn109#4.0
11#dead drop#jeremiah chechik#craig o'neill & jason tracey#september 20 , 2007#bn110#4.8
