rank#heat#lane#name#nationality#100 m#150 m#time
1#2#4#pieter van den hoogenband#netherlands#51.16#1:18.66#1:46.33
2#1#4#michael phelps#united states#52.48#1:20.10#1:46.75
3#2#2#massimiliano rosolino#italy#52.13#1:19.48#1:47.44
4#1#5#kenrick monk#australia#52.96#1:20.64#1:47.45
5#2#5#park tae - hwan#south korea#52.91#1:20.58#1:47.83
6#1#7#zhang lin#china#53.25#1:21.26#1:48.29
7#2#7#paul biedermann#germany#53.28#1:20.97#1:48.43
8#2#3#nicola cassio#italy#53.24#1:20.83#1:48.47
9#2#8#dominik koll#austria#52.66#1:20.50#1:48.50
10#1#2#brian johns#canada#53.28#1:21.22#1:48.51
11#2#6#dominik meichtry#switzerland#52.87#1:20.48#1:48.54
12#1#1#david carry#great britain#52.87#1:20.94#1:48.71
13#2#1#patrick murphy#australia#52.92#1:20.89#1:48.75
14#1#3#amaury leveaux#france#53.28#1:21.45#1:48.81
15#1#8#lã¡szlã cubic cseh#hungary#52.92#1:20.95#1:48.89
16#1#6#brent hayden#canada#53.03#1:20.99#1:48.92
