rider#manufacturer#laps#time#grid
casey stoner#ducati#30#46:46.114#1
dani pedrosa#honda#30#+ 3.390#2
valentino rossi#yamaha#30#+ 12.194#10
andrea dovizioso#honda#30#+ 24.159#9
nicky hayden#honda#30#+ 26.232#3
colin edwards#yamaha#30#+ 32.209#4
shinya nakano#honda#30#+ 34.571#15
jorge lorenzo#yamaha#30#+ 35.661#7
loris capirossi#suzuki#30#+ 38.228#8
alex de angelis#honda#30#+ 47.583#16
james toseland#yamaha#30#+ 52.107#5
sylvain guintoli#ducati#30#+ 52.350#13
chris vermeulen#suzuki#30#+ 52.833#12
john hopkins#kawasaki#30#+ 53.227#14
randy de puniet#honda#30#+ 53.411#6
marco melandri#ducati#30#+ 1:08.387#18
anthony west#kawasaki#30#+ 1:11.181#17
toni elias#ducati#30#+ 1:37.055#11
