episode#first broadcast#seans team#jons team#scores
15x01#18 january 2013#jack dee and claudia winkleman#david o'doherty and josh widdicombe#4 - 3
15x02#25 january 2013#richard bacon and henning wehn#gemma collins and katherine ryan#2 - 5
15x03#1 february 2013#tina malone and joe wilkinson#chris ramsey and rachel riley#3 - 4
15x04#8 february 2013#kian egan and tony law#tess daly and stephen mangan#3 - 4
15x05#15 february 2013#paul foot and jamelia#krishnan guru - murthy and david o'doherty#2 - 4
15x06#22 february 2013#danny dyer and miles jupp#alex jones and joe wilkinson#3 - 2
15x07#1 march 2013#jack dee and matt edmondson#rob beckett and victoria coren#4 - 3
15x08#8 march 2013#denise van outen and henning wehn#nick helm and vernon kay#5 - 2
15x09#22 march 2013#greg rutherford and jimeoin#nancy dell'olio and joe wilkinson#1 - 3
15x10#29 march 2013#chris ramsey and carol vorderman#susan calman and mel giedroyc#3 - 1
15x11#05 july 2013#compilation episode - best of series 15 (part 1)#compilation episode - best of series 15 (part 1)#n / a
