district#incumbent#party#first elected#results#candidates
michigan 1#bart stupak#democratic#1992#re - elected#bart stupak (d) 59% chuck yob (r) 41%
michigan 2#pete hoekstra#republican#1992#re - elected#pete hoekstra (r) 65% bob shrauger (d) 34%
michigan 3#vern ehlers#republican#1993#re - elected#vern ehlers (r) 65% timothy steele (d) 34%
michigan 5#james barcia#democratic#1992#re - elected#james barcia (d) 75% ronald actis (r) 24%
michigan 6#fred upton#republican#1986#re - elected#fred upton (r) 68% james bupp (d) 30%
michigan 7#nick smith#republican#1992#re - elected#nick smith (r) 62% jennie crittendon (d) 36%
michigan 9#dale kildee#democratic#1976#re - elected#dale kildee (d) 62% grant garrett (r) 36%
michigan 10#david bonior#democratic#1976#re - elected#david bonior (d) 65% tom turner (r) 34%
michigan 13#lynn rivers#democratic#1994#re - elected#lynn rivers (d) 65% carl barry (r) 33%
michigan 14#john conyers jr#democratic#1964#re - elected#john conyers jr (d) 90% william ashe (r) 10%
