place#player#country#score#to par
1#trevor immelman#south africa#68 + 68 + 69 = 205#- 11
2#brandt snedeker#united states#69 + 68 + 70 = 207#- 9
3#steve flesch#united states#72 + 67 + 69 = 208#- 8
4#paul casey#england#71 + 69 + 69 = 209#- 7
5#tiger woods#united states#72 + 71 + 68 = 211#- 5
6#stewart cink#united states#72 + 69 + 71 = 212#- 4
t7#retief goosen#south africa#71 + 71 + 72 = 214#- 2
t7#pádraig harrington#ireland#74 + 71 + 69 = 214#- 2
t7#zach johnson#united states#70 + 76 + 68 = 214#- 2
t7#robert karlsson#sweden#70 + 73 + 71 = 214#- 2
t7#phil mickelson#united states#71 + 68 + 75 = 214#- 2
t7#sean o'hair#united states#72 + 71 + 71 = 214#- 2
t7#ian poulter#england#70 + 69 + 75 = 214#- 2
t7#andrés romero#argentina#72 + 72 + 70 = 214#- 2
t7#boo weekley#united states#72 + 74 + 68 = 214#- 2
