draft#round#pick#player#nationality
1992#1#1#roman hamrlik#czech republic
1992#2#26#drew bannister#canada
1992#3#49#brent gretzky#canada
1992#4#74#aaron gavey#canada
1992#5#97#brantt myhres#canada
1992#6#122#martin tanguay#canada
1992#7#145#derek wilkinson#canada
1992#8#170#dennis maxwell#canada
1992#9#193#andrew kemper#canada
1992#10#218#marc tardif#canada
1992#11#241#tom macdonald#canada
1992#s#1#cory cross#canada
1993#1#3#chris gratton#canada
1993#2#29#tyler moss#canada
1993#3#55#allan egeland#canada
1993#4#81#marian kacir#czech republic
1993#5#107#ryan brown#canada
1993#6#133#kiley hill#canada
1993#7#159#matthieu raby#canada
1993#8#185#ryan nauss#canada
1993#9#211#alexandre laporte#canada
1993#10#237#brett duncan#canada
1993#11#263#mark szoke#canada
1993#s#3#brent peterson#canada
1994#1#8#jason wiemer#canada
1994#2#34#colin cloutier#canada
1994#3#55#vadim epanchintsev#russia
1994#4#86#dmitri klevakin#russia
1994#6#137#daniel juden#united states
1994#6#138#bryce salvador#canada
1994#7#164#chris maillet#canada
1994#8#190#alexei baranov#russia
1994#9#216#yuri smirnov#russia
1994#10#242#shawn gervais#canada
1994#10#242#brian white#united states
1994#s#8#francois bouchard#united states
1995#1#4#daymond langkow#canada
1995#2#30#mike mcbain#canada
1995#3#55#shane willis#canada
1995#5#108#konstantin golokhvastov#ukraine
1995#6#134#eduard pershin#russia
1995#7#160#cory murphy#canada
1995#8#186#joe cardarelli#canada
1995#9#212#zac bierk#canada
1996#1#16#mario larocque#canada
1996#3#69#curtis tipler#canada
1996#5#125#jason robinson#canada
1996#6#152#nikolai ignatov#russia
1996#6#157#xavier delisle#canada
1996#7#179#pavel kubina#czech republic
1997#1#7#paul mara#united states
1997#2#33#kyle kos#canada
1997#3#61#matt elich#united states
1997#5#108#mark thompson#canada
1997#5#109#jan sulc#czech republic
1997#5#112#karel betik#czech republic
1997#6#153#andrei skopintsev#russia
1997#7#168#justin jack#canada
1997#7#170#eero somervuori#finland
1997#7#185#samuel st. pierre#canada
1997#8#198#shawn skolney#canada
1997#9#224#paul comrie#canada
1998#1#1#vincent lecavalier#canada
1998#3#64#brad richards#canada
1998#3#64#dmitry afanasenkov#russia
1998#4#92#eric beaudoin#canada
1998#5#121#curtis rich#canada
1998#6#146#sergei kuznetsov#russia
1998#7#174#brett allan#canada
1998#7#194#oak hewer#canada
1998#8#221#daniel hulak#canada
1998#9#229#chris lyness#canada
1998#9#252#martin cibak#slovenia
1999#2#47#sheldon keefe#canada
1999#3#67#evgeny konstantinov#russia
1999#3#75#brett scheffelmaier#canada
1999#3#88#jimmie olvestad#sweden
1999#5#127#kaspars astashenko#latvia
1999#5#148#michal lanicek#czech republic
1999#6#182#fedor fedorov#russia
1999#7#187#ivan rachunek#russia
1999#8#216#erkki rajamaki#finland
1999#9#244#mikko kuparinen#finland
2000#1#8#nikita alexeev#russia
2000#2#34#ruslan zainullin#russia
2000#3#81#alexander kharitonov#russia
2000#4#126#johan hagglund#sweden
2000#5#161#pavel sedov#russia
2000#6#191#aaron gionet#canada
2000#7#222#marek priechodsky#slovakia
2000#7#226#brian eklund#united states
2000#7#226#alexander polukeyev#russia
2000#9#263#thomas ziegler#switzerland
2001#1#3#alexander svitov#russia
2001#2#47#alexander polushin#russia
2001#2#61#andreas holmqvist#sweden
2001#3#94#evgeny artyukhin#russia
2001#4#123#aaron lobb#canada
2001#5#138#paul lynch#united states
2001#6#188#art femenella#united states
2001#7#219#dennis packard#united states
2001#7#222#jeremy van hoof#canada
2001#8#252#jean - francois soucy#canada
2001#8#259#dmitri bezrukov#russia
2001#9#261#vitali smolyaninov#russia
2001#9#281#ilya solarev#kazakhstan
2001#9#289#henrik bergfors#sweden
2002#2#60#adam henrich#canada
2002#4#100#dmitri kazionov#russia
2002#5#135#joseph pearce#united states
2002#5#162#gerard dicaire#canada
2002#6#170#p.j. atherton#united states
2002#6#174#karri akkanen#finland
2002#6#183#paul ranger#canada
2002#7#213#fredrik norrena#finland
2002#8#233#vasily koshechkin#russia
2002#8#255#ryan craig#canada
2002#8#256#darren reid#canada
2002#9#286#alexei glukhov#russia
2002#9#287#john toffey#united states
2003#2#34#mike egener#germany
2003#2#41#matt smaby#united states
2003#3#96#jonathan boutin#canada
2003#6#92#doug o'brien#canada
2003#7#224#gerald coleman#united states
2003#7#227#jay rosehill#canada
2003#8#255#raimonds danilics#latvia
2003#8#256#brady greco#united states
2003#9#273#albert vishnyakov#russia
2003#9#286#zbynek hrdel#czech republic
2003#9#287#nick tarnasky#canada
2004#1#30#andy rogers#canada
2004#2#65#mark tobin#canada
2004#4#102#mike lundin#united states
2004#5#158#brandon elliott#canada
2004#5#163#dusty collins#united states
2004#6#188#jan zapletal#czech republic
2004#6#191#karri ramo#finland
2004#8#245#justin keller#canada
2005#1#30#vladimir mihalik#slovakia
2005#3#73#radek smolenak#czech republic
2005#3#89#chris lawrence#canada
2005#4#92#marek bartanus#slovakia
2005#4#102#blair jones#canada
2005#5#133#stanislav lascek#slovakia
2005#6#163#marek kvapil#czech republic
2005#6#165#kevin beech#canada
2005#7#225#john wessbecker#united states
2006#1#15#riku helenius#finland
2006#3#78#kevin quick#united states
2006#6#168#dane crowley#canada
2006#7#198#denis kazionov#russia
2007#2#47#dana tyrell#canada
2007#3#75#luca cunti#switzerland
2007#3#77#alexander killorn#canada
2007#4#107#mitch fadden#canada
2007#5#150#matt marshall#united states
2007#6#167#johan harju#sweden
2007#7#183#torrie jung#canada
2007#7#197#michael ward#canada
2007#7#210#justin courtnall#canada
2008#1#1#steven stamkos#canada
2008#4#117#james wright#canada
2008#5#122#dustin tokarski#canada
2008#5#147#kyle de coste#canada
2008#6#152#mark barberio#canada
2008#6#160#luke witkowski#united states
2008#7#182#matias sointu#finland
2008#7#203#david carle#united states
2009#1#2#victor hedman#sweden
2009#1#29#carter ashton#canada
2009#2#52#richard panik#slovakia
2009#4#93#alex hutchings#canada
2009#5#148#michael zadorv#canada
2009#6#162#jaroslav janus#slovakia
2009#7#183#kirill gotovets#belarus
2010#1#6#brett connolly#canada
2010#3#63#brock beukeboom#united states
2010#3#66#radko gudas#czech republic
2010#3#72#adam janosik#slovakia
2010#4#96#geoffrey schemitsch#canada
2010#4#118#jimmy mullin#united states
2010#6#156#brendan o'donnell#canada
2010#7#186#teigan zahn#canada
2011#1#27#vladislav namestnikov#russia
2011#2#58#nikita kucherov#russia
2011#5#148#nikita nesterov#russia
2011#6#178#adam wilcox#united states
2011#7#201#matthew peca#canada
2011#7#208#ondrej palat#czech republic
2012#1#10#slater koekkoek#canada
2012#1#19#andrei vasilevski#russia
2012#2#40#dylan blujus#united states
2012#2#53#brian hart#united states
2012#3#71#tanner richard#switzerland
2012#4#101#cedric paquette#canada
2012#6#161#jake dotchin#canada
2012#7#202#nikita gusev#russia
2013#1#3#jonathan drouin#canada
2013#2#33#adam erne#united states
2013#5#124#kristers gudlevskis#latvia
2013#6#154#henri ikonen#finland
2013#7#184#saku salminen#finland
2013#7#186#joel vermin#switzerland
