res#record#opponent#method#event#round#time#location
loss#15 - 4#rad martinez#decision (unanimous)#bellator 80#3#5:00#hollywood , florida , united states
win#15 - 3#akop stepanyan#submission (armbar)#bellator 76#1#3:24#windsor , ontario , canada
loss#14 - 3#joseph benavidez#submission (guillotine choke)#wec 52#2#2:45#las vegas , nevada , united states
win#14 - 2#frank gomez#decision (unanimous)#wec 49#3#5:00#edmonton , alberta , canada
win#13 - 2#clint godfrey#decision (unanimous)#wec 46#3#5:00#sacramento , california , united states
loss#12 - 2#mackens semerzier#submission (triangle choke)#wec 43#1#2:14#san antonio , texas , united states
win#12 - 1#fredson paixão#decision (unanimous)#wec 40#3#5:00#chicago , illinois , united states
win#11 - 1#akitoshi tamura#submission (arm - triangle choke)#wec 37#3#4:48#las vegas , nevada , united states
win#10 - 1#shad lierley#ko (punch)#ifl : new blood , new battles 2#1#0:37#east rutherford , new jersey , united states
win#9 - 1#lc davis#submission (armbar)#ifl : world grand prix finals#1#3:38#uncasville , connecticut , united states
win#8 - 1#john gunderson#submission (guillotine choke)#ifl : world grand prix semifinals#2#1:53#chicago , illinois , united states
win#7 - 1#erik owings#submission (armbar)#ifl : las vegas#1#0:58#las vegas , nevada , united states
win#6 - 1#cam ward#submission (arm - triangle choke)#ifl : connecticut#1#3:24#uncasville , connecticut , united states
win#5 - 1#ian loveland#submission (arm - triangle choke)#ifl : atlanta#1#0:59#atlanta , georgia , united states
loss#4 - 1#jeff curran#decision (split)#apex : a night of champions#3#5:00#gatineau , quebec , canada
win#4 - 0#bao quach#ko (head kick)#apex : evolution#1#4:50#gatineau , quebec , canada
win#3 - 0#matt fiordirosa#decision (unanimous)#freedom fights : canada vs usa#3#5:00#hull , quebec , canada
win#2 - 0#tommy lee#submission (arm - triangle choke)#tko 16: infernal#1#2:46#quebec city , quebec , canada
win#1 - 0#ali nestor charles#decision (unanimous)#ucc 1: the new beginning#2#10:00#montreal , quebec , canada
