round#country#circuit#date#pole position#fastest lap#winning rider#winning team#report
1#australia#phillip island grand prix circuit#27 february#david salom#fabien foret#luca scassa#yamaha parkingo team#report
2#united kingdom#donington park#27 march#luca scassa#sam lowes#luca scassa#yamaha parkingo team#report
3#netherlands#tt circuit assen#17 april#luca scassa#luca scassa#chaz davies#yamaha parkingo team#report
4#italy#autodromo nazionale monza#8 may#chaz davies#chaz davies#chaz davies#yamaha parkingo team#report
5#san marino#misano world circuit#12 june#sam lowes#fabien foret#broc parkes#kawasaki motocardcom#report
6#spain#motorland aragon#19 june#broc parkes#sam lowes#chaz davies#yamaha parkingo team#report
7#czech republic#masaryk circuit#10 july#fabien foret#gino rea#gino rea#step racing team#report
8#united kingdom#silverstone circuit#31 july#david salom#robbin harms#chaz davies#yamaha parkingo team#report
9#germany#nã¼rburgring#4 september#fabien foret#james ellison#chaz davies#yamaha parkingo team#report
10#italy#autodromo enzo e dino ferrari#25 september#broc parkes#fabien foret#fabien foret#hannspree ten kate honda#report
11#france#circuit de nevers magny - cours#2 october#broc parkes#massimo roccoli#luca scassa#yamaha parkingo team#report
