archbishop#born#ordained priest#ordained bishop#appointed archbishop#vacated throne#died
jean baptiste lamy#october 11 , 1814#december 1838#november 24 , 1850#february 12 , 1875#august 18 , 1885#february 13 , 1888
jean baptiste salpointe#february 22 , 1825#december 20 , 1851#june 20 , 1869#august 18 , 1885#january 7 , 1894#july 15 , 1898
placide louis chapelle#august 28 , 1843#june 28 , 1866#november 1 , 1891#january 7 , 1895#december 7 , 1898#august 8 , 1906
peter bourgade#october 17 , 1846#november 30 , 1869#may 1 , 1886#january 7 , 1899#may 17 , 1907#may 17 , 1907
john baptist pitaval#february 10 , 1858#december 24 , 1881#july 25 , 1902#january 3 , 1909#july 29 , 1918#may 23 , 1928
albert daeger#march 5 , 1872#july 25 , 1896#may 7 , 1919#march 10 , 1919#december 2 , 1932#december 2 , 1932
rudolph gerken#march 7 , 1887#july 10 , 1917#april 26 , 1927#june 2 , 1933#march 2 , 1943#march 2 , 1943
edwin byrne#august 9 , 1891#may 22 , 1915#november 30 , 1925#june 12 , 1943#july 26 , 1963#july 26 , 1963
james peter davis#june 9 , 1904#may 19 , 1929#october 6 , 1943#january 3 , 1964#june 1 , 1974#march 4 , 1988
robert fortune sanchez#march 20 , 1934#december 20 , 1959#july 25 , 1974#june 1 , 1974#april 6 , 1993#january 20 , 2012
michael jarboe sheehan#july 9 , 1939#july 12 , 1964#june 17 , 1983#august 16 , 1993#still serving#still living
