date#time#score#set 1#set 2#set 3#total
01 jun#09:00#3 - 1#25 - 21#25 - 23#13 - 25#88 - 91
01 jun#11:00#3 - 1#25 - 14#23 - 25#25 - 18#98 - 77
01 jun#17:00#3 - 0#25 - 21#25 - 20#25 - 14#75 - 55
02 jun#11:00#3 - 2#25 - 21#25 - 23#16 - 25#104 - 107
02 jun#15:00#3 - 0#25 - 20#25 - 23#25 - 16#75 - 59
02 jun#19:00#0 - 3#10 - 25#17 - 25#11 - 25#38 - 75
03 jun#11:00#1 - 3#25 - 19#25 - 27#22 - 25#87 - 96
03 jun#13:00#0 - 3#16 - 25#20 - 25#20 - 25#56 - 75
03 jun#19:00#3 - 2#22 - 25#19 - 25#25 - 19#106 - 92
04 jun#11:00#0 - 3#22 - 25#22 - 25#19 - 25#63 - 75
04 jun#15:00#1 - 3#29 - 31#20 - 25#26 - 24#99 - 106
04 jun#19:00#3 - 2#21 - 25#25 - 23#23 - 25#109 - 103
05 jun#09:00#0 - 3#17 - 25#19 - 25#23 - 25#59 - 75
05 jun#11:00#3 - 0#25 - 20#25 - 14#25 - 17#75 - 51
05 jun#19:00#0 - 3#23 - 25#23 - 25#19 - 25#65 - 75
