year#channel#play - by - play#color commentator (s)#studio host
1979 - 80#wsbk - tv#fred cusick#johnny peirson#tom larson
1978 - 79#wsbk - tv#fred cusick#johnny peirson#tom larson
1977 - 78#wsbk - tv#fred cusick#johnny peirson#tom larson
1976 - 77#wsbk - tv#fred cusick#johnny peirson#tom larson
1975 - 76#wsbk - tv#fred cusick#johnny peirson#tom larson
1974 - 75#wsbk - tv#fred cusick#johnny peirson#tom larson
1973 - 74#wsbk - tv#fred cusick#johnny peirson#tom larson
1972 - 73#wsbk - tv#fred cusick#johnny peirson#tom larson
1971 - 72#wsbk - tv#fred cusick#johnny peirson#tom larson
1970 - 71#wsbk - tv#don earle#johnny peirson#tom larson
