res#record#opponent#method#event#round#time#location
win#18 - 6#brett cooper#ko (punch)#bellator 95#1#3:39#atlantic city , new jersey , united states
win#17 - 6#sultan aliev#decision (split)#bellator 92#3#5:00#temecula , california , united states
win#16 - 6#andreas spãng#tko (punch)#bellator 89#1#3:03#charlotte , north carolina , united states
win#15 - 6#kala hose#ko (punch)#bellator 82#1#0:22#mt pleasant , michigan , united states
loss#14 - 6#zelg galesic#ko (flying knee)#sfl 3#1#0:34#new delhi , delhi , india
win#14 - 5#richard blake#ko (punch)#twilight fight night - numero uno#1#0:21#woodlake , california , united states
loss#13 - 5#givanildo santana#technical submission (rear naked choke)#tachi palace fights 10#1#0:29#lemoore , california , united states
loss#13 - 4#kyacey uscola#ko (punches)#tachi palace fights : high stakes#1#3:17#lemoore , california , united states
win#13 - 3#bj lacy#submission (rear naked choke)#playboy fight night#3#1:35#visalia , california , united states
win#12 - 3#keith berry#ko (punches)#purecombat : fearless#1#4:41#tulare , california , united states
win#11 - 3#jaime jara#decision (split)#pfc 13#3#3:00#lemoore , california , united states
win#10 - 3#rafael real#tko (punches)#pfc 11#1#1:09#lemoore , california , united states
win#9 - 3#phil collins#tko (punches)#pfc 9#2#0:40#lemoore , california , united states
loss#8 - 3#brian stann#ko (punches)#wec 33#1#1:35#las vegas , nevada , united states
win#8 - 2#ariel gandulla#submission (armbar)#wec 31#1#0:55#las vegas , nevada , united states
win#7 - 2#justin mcelfresh#ko (punch)#wec 27#1#2:16#las vegas , nevada , united states
win#6 - 2#lodune sincaid#tko (punches)#wec 23#2#0:51#lemoore , california , united states
win#5 - 2#jeff terry#tko (punches)#wec 22#1#1:50#lemoore , california , united states
loss#4 - 2#tim mckenzie#tko (strikes)#wec 19#1#3:35#lemoore , california , united states
loss#4 - 1#james irvin#ko (knee)#wec 15#2#0:45#lemoore , california , united states
win#4 - 0#carlos garcia#ko (punches)#wec 12#1#2:46#lemoore , california , united states
win#3 - 0#anthony arria#submission ( armbar )#wec 10#1#0:22#lemoore , california , united states
win#2 - 0#lavar johnson#tko (corner stoppage)#wec 9#1#5:00#lemoore , california , united states
win#1 - 0#anthony fuller#submission (strikes)#wec 8#1#0:32#lemoore , california , united states
