rank#island 's name#area (sqmi)#area (km 2 )#location#population (2000)
29#wrangell island#216#560#alaska#2401
30#mitkof island#211#546#alaska#3364
31#padre island#209#542#texas#- 1 
32#guam#209#541#guam#154805
33#isle royale#206#534#michigan#0
34#tanaga island#204#529#alaska#0
35#zarembo island#185#478#alaska#0
36#unga island#177#461#alaska#0
37#amlia#176#459#alaska#0
38#hinchinbrook island#170#445#alaska#5
39#kosciusko island#169#438#alaska#52
40#whidbey island#169#437#washington#58211
41#kruzof island#168#435#alaska#0
42#kanaga island#142#369#alaska#0
43#lāna i#141#364#hawaii#3193
44#st matthew island#137#354#alaska#0
45#annette island#132#342#alaska#1447
46#akutan island#129#334#alaska#713
47#drummond island#125#324#michigan#1058
48#hagemeister island#120#312#alaska#0
49#nagai island#120#310#alaska#0
50#amchitka#119#309#alaska#0
51#sitkalidak island#119#309#alaska#0
52#mount desert island#108#280#maine#10424
53#kiska#107#278#alaska#0
54#knight island#101#260#alaska#0
55#marsh island#100#259#louisiana#0
56#santa cruz island#98#254#california#2
57#gravina island#95#245#alaska#50
58#martha 's vineyard#91#236#massachusetts#14901
59#agattu#90#234#alaska#0
60#semisopochnoi island#86#224#alaska#0
61#johns island#84#217#south carolina#11477
62#seguam island#83#215#alaska#1
63#saint croix#82#212#us virgin islands#53234
64#yakobi island#82#212#alaska#0
65#santa rosa island#81#209#california#2
66#raspberry island#77#200#alaska#2
67#douglas island#77#199#alaska#5.297
68#dauphin island#75#194#alabama#1371
69#santa catalina island#75#194#california#3696
