place#player#country#score#to par#money
1#mark o'meara#united states#74 + 70 + 68 + 67 = 279#- 9#576000
t2#fred couples#united states#69 + 70 + 71 + 70 = 280#- 8#281600
t2#david duval#united states#71 + 68 + 74 + 67 = 280#- 8#281600
4#jim furyk#united states#76 + 70 + 67 + 68 = 281#- 7#153600
5#paul azinger#united states#71 + 72 + 69 + 70 = 282#- 6#128000
t6#jack nicklaus#united states#73 + 72 + 70 + 68 = 283#- 5#111200
t6#david toms#united states#75 + 72 + 72 + 64 = 283#- 5#111200
t8#darren clarke#northern ireland#76 + 73 + 67 + 69 = 285#- 3#89600
t8#justin leonard#united states#74 + 73 + 69 + 69 = 285#- 3#89600
t8#colin montgomerie#scotland#71 + 75 + 69 + 70 = 285#- 3#89600
t8#tiger woods#united states#71 + 72 + 72 + 70 = 285#- 3#89600
