event#time#date#meet#location
50 m freestyle#21.42#31 july 2009#world championships#rome , italy
100 m freestyle#49.13#27 july 2001#world championships#fukuoka , japan
200 m freestyle#1:45.78#31 july 2009#world championships#rome , italy
400 m freestyle#3:45.68#26 july 2009#world championships#rome , italy
800 m freestyle#7:44.94#27 july 2011#world championships#shanghai , china
1500 m freestyle#14:45.66#31 july 2011#world championships#shanghai , china
50 m backstroke#25.14#24 may 2012#european championships#debrecen , hungary
100 m backstroke#53.40#4 august 2012#olympic games#london , united kingdom
200 m backstroke#1:55.88#26 may 2012#european championships#debrecen , hungary
50 m breaststroke#27.51#2 august 2002#european championships#berlin , germany
100 m breaststroke#59.53#29 july 2012#olympic games#london , united kingdom
200 m breaststroke#2:07.23#2 august 2013#2013 world championships#barcelona , spain
50 m butterfly#23.57#28 june 2009#hungarian championships#eger , hungary
100 m butterfly#51.45#3 august 2013#2013 world championships#barcelona , spain
200 m butterfly#1:52.70#13 august 2008#olympic games#beijing , china
200 m individual medley#1:55.18#29 july 2009#world championships#rome , italy
400 m individual medley#4:06.18#10 august 2008#olympic games#beijing , china
4100 m freestyle relay#3:17.23#21 may 2012#european championships#debrecen , hungary
4200 m freestyle relay#7:08.24#31 july 2009#world championships#rome , italy
4100 m medley relay#3:33.02#4 august 2012#olympic games#london , united kingdom
