round#pick#player#nationality#college / junior / club team
1#2#tom lysiak#canada#medicine hat tigers ( wchl )
1#16#vic mercredi#canada#new westminster bruins ( wchl )
2#21#eric vail#canada#sudbury wolves ( oha )
4#53#dean talafous#united states#wisconsin ( ncaa )
5#69#john flesch#canada#lake superior ( ncaa )
6#85#ken houston#canada#chatham maroons ( sojhl )
7#101#tom machowski#united states#wisconsin ( ncaa )
8#117#bob law#canada#north dakota ( ncaa )
9#130#bob bilodeau#canada#new westminster bruins ( wchl )
10#148#glen surbey#canada#loyola college ( ciau )
10#149#guy ross#canada#sherbrooke beavers ( qmjhl )
11#162#greg fox#canada#university of michigan ( ncaa )
