player#starts#cuts made#best finish#money list rank#earnings
harrison frazar#27#19#t7#112#738615
derek fathauer#24#8#t22#203#125305
james nitties#26#15#t4#96#931532
john huston#13#7#t19#199#135476
chris stroud#28#17#t6#113#735019
robert garrigus#25#17#t9#127#657204
david berganio , jr#15#7#t32#205#115517
glen day#26#14#t13 (twice)#151#445720
james oh#20#4#t39#220#57271
webb simpson#30#16#t5#70#1249674
tyler aldridge#17#3#t66 (twice)#239#24370
notah begay iii#14#4#t28#223#54645
matthew borchert#18#4#65#234#34324
jason dufner#26#19#t2#33#2190792
troy kelly#16#3#t51#238#25828
jimmy walker#24#14#t5#125#662683
gary woodland#17#8#t28#204#121031
wil collins#18#5#t26#207#84569
mathias grãnberg#13#6#6#162#354163
bob heintz#20#11#t8#169#312699
kent jones#24#12#t9#171#301879
leif olson#21#5#t3#154#412966
ted purdy#30#21#t5#100#838707
chris riley#22#16#t7#129#630417
brian vranesh#20#6#t8#189#198567
aaron watkins#18#6#t7#178#263969
jay williamson#22#14#t13#184#240574
