player#position#tries#goals#points
robbie paul#fullback#15#1#62
tevita vaikona#wing#19#0#76
leon pryce#centre#9#0#36
nathan mcavoy#centre#14#0#56
lesley vainikolo#wing#11#0#44
michael withers#fullback#20#8#97
paul deacon#scrum half#6#155#336
joe vagana#prop#1#0#4
james lowes#hooker#9#0#36
paul anderson#prop#3#0#12
daniel gartner#second row#9#0#36
jamie peacock#second row#2#0#8
mike forshaw#loose forward#5#0#20
lee gilmour#centre#9#0#36
brandon costin#stand off#8#0#32
alex wilkinson#wing#0#0#0
lee radford#second row#2#0#8
jamie langley#loose forward#0#0#0
scott naylor#centre#13#0#52
brian mcdermott#prop#4#0#16
paul sykes#centre#0#3#6
rob parker#prop#0#0#0
stuart fielden#prop#7#0#28
richard moore#prop#0#0#0
