rank#team#run 1#run 2#run 3#run 4#final
gold#united states (usa) usa ii#1:17.1#1:19.6#1:21.4#1:22.0#5:20.1
silver#belgium (bel) belgium i#1:17.3#1:20.9#1:22.0#1:21.1#5:21.3
bronze#united states (usa) usa i#1:17.4#1:20.7#1:21.8#1:21.6#5:21.5
4#switzerland (sui) switzerland i#1:16.9#1:21.2#1:22.3#1:21.7#5:22.1
5#norway (nor) norway i#1:17.3#1:20.8#1:21.4#1:23.0#5:22.5
6#italy (ita) italy i#1:18.2#1:20.8#1:22.1#1:21.9#5:23.3
7#great britain (gbr) great britain i#1:18.5#1:20.9#1:22.5#1:23.0#5:23.3
8#switzerland (sui) switzerland ii#1:17.6#1:20.8#1:22.3#1:24.7#5:25.5
9#france (fra) france i#1:18.9#1:22.2#1:23.8#1:24.5#5:29.4
10#norway (nor) norway ii#1:20.0#1:22.6#1:23.6#1:23.5#5:29.7
11#italy (ita) italy ii#1:19.8#1:22.8#1:23.2#1:24.4#5:30.2
12#argentina (arg) argentina i#1:20.5#1:23.4#1:24.5#1:24.5#5:32.9
13#france (fra) france ii#1:20.7#1:24.7#1:24.7#1:25.3#5:35.4
14#czechoslovakia (tch) czechoslovakia i#1:20.6#1:24.1#1:25.4#1:25.4#5:35.5
15#great britain (gbr) great britain ii#1:20.8#1:24.3#1:29.8#1:26.2#5:41.1
