year#movie#record held#studio (s)#nett gross
1943#kismet#6 years#bombay talkies#1 , 00 , 00000
1949#barsaat#2 years#r k films#1 , 10 , 00000
1951#awaara#1 - year#rk films#1 , 25 , 00000
1952#aan#3 years#mehboob khan#1 , 50 , 00000
1955#shree 420#2 years#rk films#2 , 00 , 00000
1957#mother india#3 years#mehboob khan#4 , 00 , 00000
1960#mughal - e - azam#15 years#sterling investment#5 , 50 , 00000
1975#sholay#19 years#g p sippy#15 , 00 , 00000
1994#hum aapke hain koun!#7 years#rajshri productions#69 , 75 , 00000
2001#gadar : ek prem katha#5 years#zee telefilms#75 , 50 , 00000
2006#dhoom 2#2 years#yash raj films#80 , 25 , 00000
2008#ghajini#1 - year#reliance entertainment geetha arts#114 , 67 , 00000
2009#3 idiots#4 - year#vinod chopra productions#202 , 57 , 00000
2013#chennai express#current holder#red chillies entertainment#226 , 70 , 90000
