res#record#opponent#method#event#round#time#location
loss#16 - 11 - 1#forrest griffin#decision (unanimous)#ufc 148#3#5:00#las vegas , nevada , united states
loss#16 - 10 - 1#antônio rogério nogueira#tko (punches & elbows to the body)#ufc 140#1#3:15#toronto , ontario , canada
loss#16 - 9 - 1#rashad evans#tko (knee to the body & punches)#ufc 133#2#4:48#philadelphia , pennsylvania , united states
win#16 - 8 - 1#ryan bader#submission (guillotine choke)#ufc 132#1#1:56#las vegas , nevada , united states
loss#15 - 8 - 1#matt hamill#decision (unanimous)#ufc 121#3#5:00#anaheim , california , united states
loss#15 - 7 - 1#forrest griffin#decision (unanimous)#ufc 106#3#5:00#las vegas , nevada , united states
loss#15 - 6 - 1#lyoto machida#decision (unanimous)#ufc 84#3#5:00#las vegas , nevada , united states
draw#15 - 5 - 1#rashad evans#decision (unanimous)#ufc 73#3#5:00#sacramento , california , united states
loss#15 - 5#chuck liddell#tko (punches)#ufc 66#3#3:59#las vegas , nevada , united states
win#15 - 4#ken shamrock#tko (punches)#ortiz vs shamrock 3: the final chapter#1#2:22#hollywood , florida , united states
win#14 - 4#ken shamrock#tko (elbows)#ufc 61#1#1:18#las vegas , nevada , united states
win#13 - 4#forrest griffin#decision (split)#ufc 59#3#5:00#anaheim , california , united states
win#12 - 4#vitor belfort#decision (split)#ufc 51#3#5:00#las vegas , nevada , united states
win#11 - 4#patrick côté#decision (unanimous)#ufc 50#3#5:00#atlantic city , new jersey , united states
loss#10 - 4#chuck liddell#ko (punches)#ufc 47#2#0:38#las vegas , nevada , united states
loss#10 - 3#randy couture#decision (unanimous)#ufc 44#5#5:00#las vegas , nevada , united states
win#10 - 2#ken shamrock#tko (corner stoppage)#ufc 40#3#5:00#las vegas , nevada , united states
win#9 - 2#vladimir matyushenko#decision (unanimous)#ufc 33#5#5:00#las vegas , nevada , united states
win#8 - 2#elvis sinosic#tko (punches & elbows)#ufc 32#1#3:32#east rutherford , new jersey , united states
win#7 - 2#evan tanner#ko (slam)#ufc 30#1#0:30#atlantic city , new jersey , united states
win#6 - 2#yuki kondo#submission (cobra choke)#ufc 29#1#1:51#tokyo , japan
win#5 - 2#wanderlei silva#decision (unanimous)#ufc 25#5#5:00#tokyo , japan
loss#4 - 2#frank shamrock#submission (punches)#ufc 22#4#4:42#lake charles , louisiana , united states
win#4 - 1#guy mezger#tko (punches)#ufc 19#1#9:56#bay st louis , mississippi , united states
win#3 - 1#jerry bohlander#tko (cut)#ufc 18#1#14:31#new orleans , louisiana , united states
win#2 - 1#jeremy screeton#submission (knees)#west coast nhb championships 1#1#0:16#los angeles , california , united states
loss#1 - 1#guy mezger#submission (guillotine choke)#ufc 13#1#3:00#augusta , georgia , united states
win#1 - 0#wes albritton#tko (punches)#ufc 13#1#0:31#augusta , georgia , united states
