year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1993#jim laugesen#mette sørensen#neil cottrill john quinn#nadezhda chervyakova marina yakusheva#john quinn nicola beck
1994#henrik sörensen#irina serova#henrik sörensen claus simonsen#lene sörensen mette sørensen#jürgen koch irina serova
1995#thomas soegaard#elena rybkina#thomas stavngaard janek roos#michelle rasmussen mette sørensen#janek roos pernille harder
1996#daniel ericsson#tanja berg#johan tholinsson henrik andersson#ann - lou jørgensen christina sörensen#jonas rasmussen ann - lou jørgensen
1997#martin hagberg#anne gibson#james anderson ian sullivan#rebeka pantaney gail emms#ian sulivan gail emms
1998#robert nock#ella karachkova#graham hurrell paul jeffrey#lorraine cole tracey dineen#anthony clark lorraine cole
1999#robert nock#katja michalowsky#svetoslav stojanov michal popov#liza parker suzanne rayappan#ola molin johanna persson
2000#gerben bruystens#christina b sörensen#thomas hovgaard jesper mikla#britta andersen lene mork#mathias boe britta andersen
2001#bobby milroy#rebecca panteney#michael popov manuel dubrulle#nadiezda kostiuczyk kamila augustyn#kristian roebuck natalie munt
2002#przemysław wacha#sara persson#svetoslav stoyanov vincent laigle#johanna persson elin berglom#andrey konakh nadiezda kostiuczyk
2003#michael christensen#petya nedelcheva#michael popov manuel dubrulle#petya nedelcheva nely boteva#mike beres jody patrick
2004#per - henrik croona#katja michalowsky#mike beres william milroy#britta andersen mie schjott kristensen#jesper thomsen britta andersen
2005#przemysław wacha#susan hughes#chris langridge chris tonks#nadiezda kostiuczyk kamila augustyn#henri hurskainen johanna persson
2006#jan o jorgensen#ragna ingolfsdottir#robert adcock robin middleton#mie schjott - kristensen christinna pedersen#liza parker robin middleton
2007#arvind bhat#rachel van cutsen#kasper henriksen rasmus bonde#mie schjott - kristensen christinna pedersen#rasmus bonde christinna pedersen
2008#chetan anand#ella diehl#kasper henriksen christian skovgaard#helle nielsen marie roepke#rasmus bonde helle nielsen
2009#petr koukal#trupti murgunde#mads conrad - petersen mads pieler kolding#maria helsbol anne skelbaek#viki indra okvana gustiani megawati
2010#ajay jayaram#karina jörgensen#chris langridge robin middleton#selena piek iris tabeling#anders skaarup rasmussen anne skelbaek
2011#przemyslaw wacha#kristina gavnholt#adam cwalina michal logosz#valeria sorokina nina vislova#alexandr nikolaenko nina vislova
2012#joachim persson#kirsty gilmour#chris langridge peter mills#heather olver kate robertshaw#chris langridge heather olver
