outcome#date#championship#surface#opponent#score
runner - up#11 october 2004#open de moselle , metz , france#hard (i)#jérôme haehnel#6 - 7 (9 - 11) , 4 - 6
runner - up#9 may 2005#international german open , hamburg , germany#clay#roger federer#3 - 6 , 5 - 7 , 6 - 7 (4 - 7)
winner#13 june 2005#nottingham open , nottingham , united kingdom#grass#max mirnyi#6 - 2 , 6 - 3
winner#19 june 2006#nottingham open , nottingham , united kingdom (2)#grass#jonas björkman#6 - 4 , 6 - 3
winner#10 july 2006#allianz suisse open gstaad , gstaad , switzerland#clay#feliciano lópez#7 - 6 (7 - 4) , 6 - 7 (3 - 7) , 6 - 3
runner - up#7 august 2006#canada masters , toronto , canada#hard#roger federer#6 - 2 , 3 - 6 , 2 - 6
winner#23 october 2006#grand prix de tennis de lyon , lyon , france#carpet (i)#marc gicquel#6 - 3 , 6 - 1
runner - up#29 april 2007#estoril open , estoril , portugal#clay#novak djokovic#6 - 7 (7 - 9) , 6 - 0 , 1 - 6
winner#30 september 2007#atp mumbai , bombay , india#hard#olivier rochus#6 - 3 , 6 - 4
runner - up#1 october 2007#aig japan open tennis championships , tokyo , japan#hard#david ferrer#1 - 6 , 2 - 6
runner - up#13 july 2008#mercedes cup , stuttgart , germany#clay#juan martín del potro#4 - 6 , 5 - 7
runner - up#16 january 2010#medibank international , sydney , australia#hard#marcos baghdatis#4 - 6 , 6 - 7 (2 - 7)
winner#22 may 2010#open de nice côte d'azur , nice , france#clay#fernando verdasco#6 - 3 , 5 - 7 , 7 - 6 (7 - 5)
runner - up#1 august 2010#allianz suisse open gstaad , gstaad , switzerland#clay#nicolás almagro#5 - 7 , 1 - 6
runner - up#6 may 2012#estoril open , estoril , portugal (2)#clay#juan martín del potro#4 - 6 , 2 - 6
runner - up#12 august 2012#toronto masters , toronto , canada (2)#hard#novak djokovic#3 - 6 , 2 - 6
winner#30 september 2012#ptt thailand open , bangkok , thailand#hard (i)#gilles simon#6 - 2 , 6 - 1
winner#5 january 2013#qatar open , doha , qatar#hard#nikolay davydenko#3 - 6 , 7 - 6 (7 - 4) , 6 - 3
winner#10 february 2013#open sud de france , montpellier , france#hard (i)#benoît paire#6 - 2 , 6 - 3
winner#20 october 2013#kremlin cup , moscow , russia#hard (i)#mikhail kukushkin#4 - 6 , 6 - 4 , 6 - 4
