player#country#caps#goals#years active
glen moss#new zealand#21#(0)#2006 -
manny muscat#malta#8#(0)#2009 -
michael boxall#new zealand#7#(0)#2011 -
leo bertos#new zealand#52#(0)#2003 -
paul ifill#barbados#10#(6)#2004 - 2008
stein huysegems#belgium#15#(0)#2004 - 2009
jeremy brockie#new zealand#34#(0)#2006 -
ben sigmund#new zealand#29#(2)#2000 -
andrew durante#new zealand#3#(0)#2013 -
jacob spoonley#new zealand#2#(0)#2007 -
carlos hernández#costa rica#36#(7)#2004 -
kenny cunningham#costa rica#10#(1)#2011 -
