res#record#opponent#method#event#location
loss#3 - 9#vinicius lima#ko (punch)#hard fight championship#cuiaba , mato grosso , brazil
loss#3 - 8#geronimo dos santos#ko (punches)#mf - max fight 13#são paulo , brazil
win#3 - 7#gerald hill#ko (punches)#sugar creek showdown 5#hinton , oklahoma
loss#2 - 7#rodrigo gripp de sousa#submission (guillotine choke)#open fight#brazil
loss#2 - 6#junior dos santos#submission (guillotine choke)#minotauro fights 5#sao paulo , brazil
loss#2 - 5#assuerio silva#tko (punches)#show fight 5#sao paulo , brazil
loss#2 - 4#rafael cavalcante#tko#pantanal combat#brazil
loss#2 - 3#edson claas vieira#submission (punches)#meca world vale tudo 12#rio de janeiro , brazil
loss#2 - 2#alessio sakara#ko#real fight 1#rio de janeiro , brazil
win#2 - 1#danilo pereira#decision (split)#vitoria extreme fighting 1#vitoria , brazil
win#1 - 1#chico melo#ko#vitoria extreme fighting 1#vitoria , brazil
loss#0 - 1#claudineney kozan#submission (guillotine choke)#k - 1 brazil - new stars#curitiba , brazil
