year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1963#juozas kriščiūnas#regina šemetaitė#juozas kriščiūnas povilas tamošauskas#jolanta kazarinaitė aurelija kostiuškaitė#juozas kriščiūnas jolanta kazarinaitė
1964#juozas kriščiūnas#jolanta kazarinaitė#juozas kriščiūnas vladas rybakovas#jolanta kazarinaitė valentina guseva#vladas rybakovas valentina gusva
1965#petras zubė#regina šemetaitė#algirdas vitkauskas petras zubė#regina šemetaitė janina laucytė#petras zubė regina vilutytė
1966#petras zubė#vida jurevičienė#vytas ripinskas petras zubė#regina grigaitė vale visniauskaitė#petras zubė janina laucytė
1967#juozas baltrimas#vida jurevičienė#vytas ripinskas petras zubė#vida jurevičienė vale viniauskaitė#petras zubė regina minelgienė
1968#juozas baltrimas#vida jurevičienė#juozas kriščiūnas petras zubė#vida jurevičienė undinė jagelaitė#juozas kriščiūnas vida jurevičienė
1969#petras zubė#valė viskinauskaitė#antanas narvilas regimantas kijauskas#regina šemetaitė salvija petronytė#petras zubė regina minelgienė
1970#giedrius voroneckas#vida jurevičienė#regimantas kijauskas vidas kijauskas#vida jurevičienė reina šemetaitė#petras zubė regina šemetaitė
1971#petras zubė#vida jurevičienė#antanas narvilas petras zubė#vida jurevičienė undinė jagelaitė#petras zubė regina šemetaitė
1972#petras zubė#vida jurevičienė#juozas baltrimas alimantas mockus#vida jurevičienė nijolė sabaitė#giedrius voroneckas vida jurevičienė
1973#juozas baltrimas#nijolė sabaitė#antanas kašuba petras zubė#danutė staniukaitytė nijolė sabaitė#petras zubė drazina dovidavičiūtė
1974#antanas narvilas#nijolė sabaitė#antanas kašuba antanas narvilas#alma tarutienė nijolė sabaitė#sigitas jasaitis nijolė sabaitė
1975#juozas baltrimas#nijolė sabaitė#antanas narvilas justinas stankus#genutė baltrimaitė danutė staniukaitytė#juozas baltrimas genutė baltrimaitė
1976#juozas baltrimas#nijolė noreikaitė#antanas narvilas justinas stankus#virginija cechanavičiūtė nijolė noreikaitė#juozas baltrimas genutė baltrimaitė
1977#antanas narvilas#virginija cechanavičiūtė#antanas narvilas justinas stankus#virginija cechanavičiūtė danutė staniukaitytė#antanas narvilas danguolė blevaitienė
1978#juozas baltrimas#virginija cechanavičiūtė#arturas jaskevičius justinas stankus#virginija cechanavičiūtė asta šimbelytė#rimas liubartas virginija cechanavičiūtė
1979#antanas narvilas#virginija cechanavičiūtė#juozas baltrimas kęstutis dabravolskis#virginija cechanavičiūtė milda taraskevičiūtė#juozas baltrimas genutė baltrimaitė
1980#arturas jaskevičius#milda taraskevičiūtė#juozas baltrimas kęstutis baltakis#asta šimbelytė milda taraskevičiūtė#sigitas jasaitis silva senkutė
1981#juozas baltrimas#danguolė blevaitienė#arturas jaskevičius antanas narvilas#danguolė blevaitienė silva senkutė#anatas narvilas danguolė blevaitienė
1982#juozas baltrimas#danguolė blevaitienė#juozas baltrimas sigitas jasaitis#danguolė blevaitienė silva senkutė#anatas narvilas danguolė blevaitienė
1983#arūnas petkevičius#jūratė markaitytė#kęstutis baltakis arūnas petkevičius#jūratė markaitytė jūratė lazauninkaitė#kstutis baltakis jūratė andriuscenkaitė
1984#arūnas petkevičius#jūratė markaitytė#kęstutis baltakis arūnas petkevičius#jūratė markaitytė edita andriuscenkaitė#arūnas petkevičius jūratė markaitytė
1985#arūnas petkevičius#jūratė markaitytė#kęstutis baltakis arūnas petkevičius#jūratė markaitytė silva senkutė#arūnas petkevičius jūratė markaitytė
1986#arūnas petkevičius#jūratė markaitytė#kęstutis baltakis arūnas petkevičius#jūratė markaitytė aušrinė gebranaitė#egidijus jankauskas jūratė markaitytė
1987#egidijus jankauskas#jūratė markaitytė#kęstutis baltakis arūnas petkevičius#jūratė markaitytė danguolė blevaitienė#egidijus jankauskas danguolė blevaitienė
1988#arūnas petkevičius#rasa mikšytė#algirdas kepežinskas ovidius česonis#jūratė markaitytė danguolė blevaitienė#arūnas petkevičius danguolė blevaitienė
