usage#sn / sb (%)#liquid at (degree)#casting at (degree)#remelting at (degree)#hardness
typograph#3 / 12#250#280…290#310…330#19
ludlow#5 / 12#245#270…285#300…320#21
lino / intertype a#5 / 12#245#270…285#300…320#21
lino / intertype b#6 / 12#243#270…285#300…320#21.5
lino / intertype c#7 / 12#241#270…285#300…320#22
stereotyping#5 / 15#265#320#320…340#23
stereotyping#7 / 14#258#315#320…340#23
monotype a#5 / 15#265#350#330…350#23
monotype b#8 / 15#260#360#350…370#25
monotype c#7 / 17#280#370#360…380#26
monotype d#9 / 19#285#390#380…400#28.5
monotype e#9.5 / 15#270#360#350…370#26
monotype f#9.5 / 17#280#380#370…390#27.5
monotype g#10 / 16#275#370#360…380#27
regeneration a#9 / 11#-#-#-#-
regeneration b#9 / 12#-#-#-#-
regeneration c#9 / 16#-#-#-#-
support metal a#1 / 2#310#-#360…380#6
support metal b#3 / 5#295#-#340…360#14
support metal c#5 / 5#280#-#340…360#16
typefounding#5.5 / 28.5#360#-#420…430#29.5
