club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
llandaff rfc#22#19#0#3#529#212#81#26#9#3#88
tredegar ironsides rfc#22#18#1#3#726#196#107#18#10#1#85
nantyglo rfc#22#15#0#7#493#382#67#45#8#5#73
risca rfc#22#12#1#9#462#344#53#41#8#4#62
rhiwbina rfc#21#11#0#10#431#307#62#38#8#8#60
crumlin rfc#22#12#2#8#415#370#55#47#4#3#59
machen rfc#22#11#1#10#533#454#63#61#5#3#50
st joseph 's rfc#22#10#0#12#353#371#38#43#3#3#46
monmouth rfc#22#8#2#12#365#437#45#61#4#4#44
chepstow rfc#22#5#1#16#371#507#49#70#2#6#30
brynithel rfc#22#5#0#17#201#526#24#71#1#3#24
pontllanfraith rfc#21#1#0#20#91#864#11#134#0#1#5
