season#team#country#league#level#apps
2001#astana#kazakhstan#premier league#1#0
2002#astana#kazakhstan#premier league#1#2
2002#akzhayik astana#kazakhstan#second division#3#6
2003#ekibastuzets#kazakhstan#premier league#1#2
2003#zhastar astana#kazakhstan#first division#2#10
2004#eurasia astana#kazakhstan#first division#2#10
2004#astana#kazakhstan#premier league#1#10
2005#astana#kazakhstan#premier league#1#1
2006#astana#kazakhstan#premier league#1#28
2007#astana#kazakhstan#premier league#1#27
200708#royal antwerp#belgium#second division#2#1
2008#astana#kazakhstan#premier league#1#7
2009#zhetysu#kazakhstan#premier league#1#8
2010#irtysh pavlodar#kazakhstan#premier league#1#24
