place#player#country#score#to par
1#dennis paulson#united states#68#- 4
2#tom lehman#united states#69#- 3
t3#sergio garcía#spain#70#- 2
t3#steve stricker#united states#70#- 2
t5#thomas bjørn#denmark#71#- 1
t5#steve jones#united states#71#- 1
t5#bernhard langer#germany#71#- 1
t5#rocco mediate#united states#71#- 1
t5#phil mickelson#united states#71#- 1
t10#tommy aaron#united states#72#e
t10#paul azinger#united states#72#e
t10#mark brooks#united states#72#e
t10#darren clarke#northern ireland#72#e
t10#ernie els#south africa#72#e
t10#bob estes#united states#72#e
t10#nick faldo#england#72#e
t10#justin leonard#united states#72#e
t10#josé maría olazábal#spain#72#e
t10#masashi ozaki#japan#72#e
t10#vijay singh#fiji#72#e
t10#hal sutton#united states#72#e
