year#tournament#venue#result#extra
2000#world junior championships#santiago , chile#7th#heptathlon
2003#european u23 championships#bydgoszcz , poland#2nd#heptathlon
2003#universiade#daegu , south korea#11th#pentathlon
2005#universiade#izmir , turkey#5th#pentathlon
2005#décastar#talence , france#8th#heptathlon
2006#hypo - meeting#götzis , austria#18th#heptathlon
2007#hypo - meeting#götzis , austria#23rd#heptathlon
2007#world championships#osaka , japan#16th#heptathlon
2008#hypo - meeting#götzis , austria#17th#heptathlon
2009#european indoor championships#turin , italy#8th#pentathlon
2009#hypo - meeting#götzis , austria#8th#heptathlon
