shirt no#nationality#player#birth date#height#position
1#russia#aleksey ostapenko#may 26 , 1986 (age27)#207#middle blocker
3#bulgaria#teodor salparov#august 16 , 1982 (age31)#182#libero
4#russia#roman bragin#april 17 , 1987 (age26)#187#libero
5#russia#sergey grankin#january 22 , 1987 (age27)#193#setter
6#russia#yevgeni sivozhelez#august 8 , 1986 (age27)#196#outside hitter
7#russia#maksim botin#july 14 , 1983 (age30)#194#outside hitter
8#russia#semen poltavskiy#february 8 , 1981 (age32)#205#opposite hitter
9#russia#yury berezhko#january 27 , 1984 (age30)#198#outside hitter
10#russia#roman yakovlev#august 12 , 1976 (age37)#202#opposite hitter
12#russia#andrei zubkov#july 13 , 1981 (age32)#201#setter
13#russia#aleksei samoylenko#september 23 , 1985 (age28)#207#middle blocker
14#russia#dmitri scherbinin#september 10 , 1989 (age24)#205#middle blocker
17#brazil#dante amaral#september 30 , 1980 (age33)#201#outside hitter
18#russia#aleksandr volkov#february 14 , 1985 (age28)#210#middle blocker
