res#record#opponent#method#event#round#time#location
win#24 - 11#joshua thorpe#tko (retirement)#shamrock promotions : fight night#3#2:54#st louis , missouri , united states
win#23 - 11#edwin aguilar#submission (rear - naked choke)#flawless fc 3: california love#1#0:42#inglewood , california , united states
loss#22 - 11#paul daley#decision (unanimous)#ringside mma 12: daley vs fioravanti#3#5:00#montreal , quebec , canada
loss#22 - 10#joe doerksen#decision (unanimous)#score fighting series 1: mein vs zaromskis#3#5:00#mississauga , ontario
loss#22 - 9#andrei semenov#decision (unanimous)#m - 1 challenge xxv : zavurov vs enomoto#3#5:00#st petersburg , russia
win#22 - 8#mike geurin#decision (unanimous)#raging wolf xi : mayhem in the mist#3#5:00#niagara falls , new york , united states
win#21 - 8#mitch whitesel#submission (punches)#wef 45#2#4:41#jacksonville , florida , united states
win#20 - 8#arthur guseinov#submission (rear - naked choke)#m - 1 challenge xxii : narkun vs vasilevsky#4#0:33#moscow , russia
win#19 - 8#johnny buck#decision (unanimous)#panama city beach mma : brawl on the beach#3#5:00#panama city , florida , united states
win#18 - 8#woody weatherby#tko (punches)#m - 1 selection 2010: the americas finals#1#2:51#atlantic city , new jersey , united states
loss#17 - 8#john kolosci#submission (rear - naked choke)#hoosier fight club#1#0:42#gary , indiana , united states
loss#17 - 7#pete spratt#tko (punches)#mfc 25#3#4:02#edmonton , alberta , canada
win#17 - 6#shane primm#decision (unanimous)#raging wolf vi : mayhem in the mist#3#5:00#niagara falls , new york , united states
win#16 - 6#matt lagler#decision (unanimous)#c3: slammin jammin weekend 3#3#5:00#red rock , oklahoma , united states
loss#15 - 6#john alessio#ko (punches)#mfc 22#3#1:34#edmonton , alberta , canada
win#15 - 5#fabricio nascimento#ko (punches)#xtreme mma championships 1#1#4:44#rome , italy
loss#14 - 5#anthony johnson#tko (punches)#ufc fight night : lauzon vs stephens#1#4:39#tampa , florida , united states
win#14 - 4#brodie farber#decision (unanimous)#ufc : fight for the troops#3#5:00#fayetteville , north carolina , united states
loss#13 - 4#diego sanchez#tko (knee and punches)#the ultimate fighter 7 finale#3#4:07#las vegas , nevada , united states
win#13 - 3#luke cummo#decision (unanimous)#ufc 82#3#5:00#columbus , ohio , united states
win#12 - 3#frank camacho#tko#pxc 12: settling the score#1#n / a#mangilao , guam
loss#11 - 3#forrest petz#decision (unanimous)#ufc fight night 10#3#5:00#hollywood , florida , united states
loss#11 - 2#jon fitch#submission (rear naked choke)#ufc 68#2#3:05#columbus , ohio , united states
win#11 - 1#dave menne#tko (punches)#ufc fight night 7#1#4:44#san diego , california , united states
win#10 - 1#hidetaka monma#tko (strikes)#gcm : dog 7#1#2:31#tokyo , japan
win#9 - 1#solomon hutcherson#ko (punch)#the ultimate fighter 3#1#4:15#las vegas , nevada , united states
win#8 - 1#stephan potvin#decision (unanimous)#apex : evolution#3#5:00#gatineau , quebec , canada
loss#7 - 1#chris leben#decision (unanimous)#ultimate fight night 4#3#5:00#las vegas , nevada , united states
win#7 - 0#sean sallee#submission (punches)#absolute fighting championships 15#1#1:32#fort lauderdale , florida , united states
win#6 - 0#tim stout#decision (unanimous)#full throttle 4#3#5:00#duluth , georgia , united states
win#5 - 0#george allen#tko#real fighting championships 2#3#3:39#tampa , florida , united states
win#4 - 0#hans canko#tko#north american combat challenge#2#2:09#florida , united states
win#3 - 0#manuel garcia#tko (corner stoppage)#absolute fighting championships 12#1#5:00#fort lauderdale , florida , united states
win#2 - 0#thiago goncalves#decision#absolute fighting championships 11#2#5:00#fort lauderdale , florida , united states
win#1 - 0#kiel reid#submission#obaktagon challenge 1#1#3:14#jacksonville , florida , united states
