place#player#country#score#to par
1#tom watson#united states#73 + 71 + 69 = 213#+ 3
2#hale irwin#united states#73 + 70 + 71 = 214#+ 4
3#arnold palmer#united states#73 + 70 + 73 = 216#+ 6
t4#frank beard#united states#77 + 69 + 72 = 218#+ 8
t4#bert yancey#united states#76 + 69 + 73 = 218#+ 8
t4#jim colbert#united states#72 + 77 + 69 = 218#+ 8
7#forrest fezler#united states#75 + 70 + 74 = 219#+ 9
t8#lou graham#united states#71 + 75 + 74 = 220#+ 10
t8#gary player#south africa#70 + 73 + 77 = 220#+ 10
t10#raymond floyd#united states#72 + 71 + 78 = 221#+ 11
t10#buddy allin#united states#76 + 71 + 74 = 221#+ 11
t10#tom kite#united states#74 + 70 + 77 = 221#+ 11
t10#dale douglass#united states#77 + 72 + 72 = 221#+ 11
t10#tom weiskopf#united states#76 + 73 + 72 = 221#+ 11
