outcome#date#tournament#surface#opponent#score
winner#january 14 , 2007#el salvador f1 , santa tecla#clay#jan stancik#5 - 7 , 6 - 1 , 6 - 2
winner#january 21 , 2007#guatemala f1 , guatemala city#hard#john paul fruttero#7 - 6 (7 - 5) , 6 - 3
winner#february 4 , 2007#costa rica f1 , san josé#hard#lester cook#2 - 6 , 7 - 5 , 6 - 3
winner#march 11 , 2007#usa f6 , mcallen#hard#wesley whitehouse#6 - 3 , 6 - 2
winner#january 20 , 2008#guatemala f1 , guatemala city#hard#marcel felder#7 - 6 (7 - 5) , 6 - 3
winner#september 25 , 2011#canada f7 , markham#hard (i)#jesse levine#6 - 4 , 3 - 6 , 7 - 5
winner#october 9 , 2011#venezuela f8 , caracas#hard#eduardo struvay#6 - 1 , 6 - 3
winner#october 16 , 2011#usa f26 , austin#hard#john - patrick smith#4 - 6 , 7 - 6 (7 - 5) , 6 - 4
winner#february 26 , 2012#usa f5 , brownsville#hard#daniel cox#6 - 1 , 6 - 3
runner - up#march 4 , 2012#usa f6 , harlingen#hard#thomas fabbiano#1 - 6 , 6 - 4 , 3 - 6
runner - up#march 18 , 2012#canada f2 , sherbrooke#carpet (i)#stefan seifert#3 - 6 , 6 - 7 (4 - 7)
runner - up#july 8 , 2012#panama city , panama#clay#rogério dutra da silva#3 - 6 , 0 - 6
runner - up#august 19 , 2012#canada f5 , mississauga#hard#danai udomchoke#5 - 7 , 6 - 7 (5 - 7)
winner#september 8 , 2012#canada f7 , toronto#clay#chase buchanan#6 - 4 , 6 - 4
runner - up#september 23 , 2012#canada f9 , markham#hard (i)#tennys sandgren#4 - 6 , 3 - 6
winner#september 7 , 2013#canada f7 , toronto#clay#jason jung#6 - 1 , 6 - 1
winner#september 14 , 2013#canada f8 , toronto#hard#sanam singh#6 - 2 , 6 - 2
winner#october 13 , 2013#tiburon , united states#hard#matthew ebden#7 - 5 , 6 - 3
runner - up#november 3 , 2013#charlottesville , united states#hard (i)#michael russell#5 - 7 , 6 - 2 , 6 - 7 (5 - 7)
