us mission#mass (kg)#launch vehicle#launched#mission goal#mission result
pioneer 0#38#thor - able#17 august 1958#lunar orbit#failure - first stage explosion , destroyed
pioneer 1#34#thor - able#11 october 1958#lunar orbit#failure - software error , reentry
pioneer 2#39#thor - able#8 november 1958#lunar orbit#failure - third stage misfire , reentry
pioneer 3#6#juno#6 december 1958#lunar flyby#failure - first stage misfire , reentry
pioneer p - 1#168#atlas - able#24 september 1959#lunar orbit#failure - pad explosion , destroyed
pioneer p - 3#168#atlas - able#29 november 1959#lunar orbit#failure - payload shroud , destroyed
pioneer p - 30#175#atlas - able#25 september 1960#lunar orbit#failure - second stage anomaly , reentry
pioneer p - 31#175#atlas - able#15 december 1960#lunar orbit#failure - first stage explosion , destroyed
ranger 1#306#atlas - agena#23 august 1961#prototype test#failure - upper stage anomaly , reentry
ranger 2#304#atlas - agena#18 november 1961#prototype test#failure - upper stage anomaly , reentry
ranger 3#330#atlas - agena#26 january 1962#moon landing#failure - booster guidance , solar orbit
ranger 5#342#atlas - agena#18 october 1962#moon landing#failure - spacecraft power , solar orbit
ranger 6#367#atlas - agena#30 january 1964#lunar impact#failure - spacecraft camera , crash impact
ranger 7#367#atlas - agena#28 july 1964#lunar impact#success - returned 4308 photos , crash impact
ranger 8#367#atlas - agena#17 february 1965#lunar impact#success - returned 7137 photos , crash impact
