round#date#matches#clubs#prize money
extra preliminary round#28 august 2004#73#661 → 588#500
preliminary round#4 september 2004#182#588 → 406#1000
first qualifying round#18 september 2004#124#406 → 282#2250
second qualifying round#2 october 2004#84#282 → 198#3750
third qualifying round#16 october 2004#42#198 → 156#5000
fourth qualifying round#30 october 2004#32#156 → 124#10000
first round proper#13 november 2004#40#124 → 84#16000
second round proper#4 december 2004#20#84 → 64#24000
third round proper#8 january 2005#32#64 → 32#40000
fourth round proper#29 january 2005#16#32 → 16#60000
fifth round proper#19 february 2005#8#16 → 8#120000
sixth round proper#23 march 2005#4#8 → 4#300000
semi - finals#16 april 2005#2#4 → 2#900000
final#21 may 2005#1#2 → 1#1000000
