president#date of birth#date of inauguration#age at inauguration#end of term#length of retirement#date of death#lifespan
prasad , rajendra rajendra prasad#1884 - 12 - 03 3 december 1884#26 january 1950#65 - 054 65years , 54days#13 may 1962#0291 days#1963 - 02 - 28 28 february 1963#days (78years , 87days)
radhakrishnan , sarvepalli sarvepalli radhakrishnan#1888 - 09 - 05 5 september 1888#13 may 1962#73 - 250 73years , 250days#13 may 1967#2896 days#1975 - 04 - 17 17 april 1975#days (86years , 224days)
hussain , zakir zakir hussain#1897 - 02 - 08 8 february 1897#13 may 1967#70 - 094 70years , 94days#3 may 1969#0000 n / a#1969 - 05 - 03 3 may 1969#days (72years , 84days)
giri , v v vv giri#1894 - 08 - 10 10 august 1894#24 august 1969#75 - 014 75years , 14days#24 august 1974#2130 days#1980 - 06 - 23 23 june 1980#days (85years , 318days)
ahmed , fakhruddin fakhruddin ahmed#1905 - 05 - 13 13 may 1905#24 august 1974#69 - 103 69years , 103days#11 february 1977#0000 n / a#1977 - 02 - 11 11 february 1977#days (71years , 274days)
reddy , neelam neelam reddy#1913 - 05 - 19 19 may 1913#25 july 1977#64 - 067 64years , 67days#25 july 1982#5060 days#1996 - 06 - 01 1 june 1996#days (83years , 13days)
singh , zail zail singh#1916 - 05 - 05 5 may 1916#25 july 1982#66 - 081 66years , 81days#25 july 1987#2710 days#1994 - 12 - 25 25 december 1994#days (78years , 234days)
venkataraman , ramaswamy ramaswamy venkataraman#1910 - 12 - 04 4 december 1910#25 july 1987#76 - 233 76years , 233days#25 july 1992#6030 days#2009 - 01 - 27 27 january 2009#days (98years , 54days)
sharma , shankar shankar dayal sharma#1918 - 08 - 19 19 august 1918#25 july 1992#73 - 341 73years , 341days#25 july 1997#0884 days#1999 - 12 - 26 26 december 1999#days (81years , 129days)
narayanan , k r kr narayanan#1920 - 10 - 27 27 october 1920#25 july 1997#76 - 271 76years , 271days#25 july 2002#1203 days#2005 - 11 - 09 9 november 2005#days (85years , 13days)
kalam , a p j apjabdul kalam#1931 - 10 - 15 15 october 1931#25 july 2002#70 - 283 70years , 283days#25 july 2007#0 , 2383 days#2014 - 02 - 1#days (82years , 109days)
patil , pratibha pratibha patil#1934 - 12 - 19 19 december 1934#25 july 2007#72 - 218 72years , 218days#25 july 2012#0 , 556 days#2014 - 02 - 1#days (79years , 44days)
mukherjee , pranab pranab mukherjee#1934 - 12 - 19 11 december 1935#25 july 2012#76years , 227days#incumbent#0000 incumbent#2014 - 02 - 1#days (78years , 52days)
president#date of birth#date of inauguration#age at inauguration#end of term#length of retirement#date of death 25 - 7 - 2012#lifespan
