date#opponent#score#loss#attendance#record
september 1#yankees#7 - 6#wells (15 - 7)#32577#60 - 76
september 2#white sox#5 - 3#thurman (2 - 3)#18373#60 - 77
september 3#white sox#5 - 4#loaiza (7 - 8)#14427#60 - 78
september 4#white sox#6 - 2#wright (10 - 12)#21122#61 - 78
september 5#red sox#5 - 4#hermanson (1 - 1)#30021#62 - 78
september 6#red sox#7 - 2#halladay (15 - 7)#31847#62 - 79
september 7#red sox#4 - 1#bowles (0 - 1)#31591#62 - 80
september 8#red sox#9 - 4#castillo (5 - 14)#31344#63 - 80
september 9#indians#11 - 9#sadler (1 - 1)#28567#64 - 80
september 10#indians#5 - 4#wohlers (2 - 4)#24312#65 - 80
september 11#indians#6 - 5 (11)#elder (0 - 1)#26609#66 - 80
september 13#devil rays#5 - 2#brazelton (0 - 1)#14257#67 - 80
september 14#devil rays#8 - 4#sturtze (3 - 17)#22155#68 - 80
september 15#devil rays#7 - 4#loaiza (8 - 9)#16513#68 - 81
september 16#orioles#2 - 0#ponson (7 - 7)#20279#69 - 81
september 17#orioles#10 - 4#miller (7 - 5)#20486#69 - 82
september 18#orioles#2 - 1#douglass (0 - 4)#20928#70 - 82
september 19#orioles#9 - 3#lã cubicpez (15 - 8)#24162#71 - 82
september 20#devil rays#11 - 7#loaiza (8 - 10)#12682#71 - 83
september 21#devil rays#4 - 3#walker (9 - 5)#13351#71 - 84
september 22#devil rays#12 - 6#wilson (6 - 11)#19625#72 - 84
september 24#orioles#11 - 1#douglass (0 - 5)#14438#73 - 84
september 25#orioles#3 - 2#lã cubicpez (15 - 9)#17287#74 - 84
september 26#orioles#5 - 1#hentgen (0 - 4)#13127#75 - 84
september 27#tigers#5 - 2#van hekken (1 - 3)#15407#76 - 84
september 28#tigers#10 - 2#beverlin (0 - 3)#19541#77 - 84
september 29#tigers#1 - 0#maroth (6 - 10)#30029#78 - 84
