driver#constructor#laps#time / retired#grid
michael schumacher#ferrari#71#1:33:51.562#3
rubens barrichello#ferrari#71#+ 0.182#1
juan pablo montoya#williams - bmw#71#+ 17.730#4
ralf schumacher#williams - bmw#71#+ 18.448#2
giancarlo fisichella#jordan - honda#71#+ 49.965#15
david coulthard#mclaren - mercedes#71#+ 50.672#8
jenson button#renault#71#+ 51.229#13
mika salo#toyota#71#+ 1:09.425#10
allan mcnish#toyota#71#+ 1:09.718#14
jacques villeneuve#bar - honda#70#engine#17
heinz - harald frentzen#arrows - cosworth#69#+ 2 laps#11
mark webber#minardi - asiatech#69#+ 2 laps#21
jarno trulli#renault#44#fuel pressure#16
alex yoong#minardi - asiatech#42#engine#22
eddie irvine#jaguar - cosworth#38#hydraulics#20
nick heidfeld#sauber - petronas#27#collision#5
takuma sato#jordan - honda#26#collision#18
olivier panis#bar - honda#22#engine#9
felipe massa#sauber - petronas#7#suspension#7
kimi räikkönen#mclaren - mercedes#5#engine#6
enrique bernoldi#arrows - cosworth#2#collision#12
pedro de la rosa#jaguar - cosworth#0#throttle#19
